Output dir, Input file, Query file, Ground truth file, Min size, Min occ comp, Mid time point, Running time, F1, P, R
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-41-05-994,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,4,0.500000,true,2147,0.697509,0.891111,0.573016
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-40-42-441,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,5,0.000000,true,2013,0.597990,0.777778,0.485714
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-41-14-113,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,5,0.500000,true,2084,0.580000,0.966667,0.414286
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-41-01-744,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,4,0.500000,false,2013,0.531364,0.527469,0.535317
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-41-33-563,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,4,0.750000,false,2000,0.485507,0.620370,0.398810
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-41-37-880,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,4,0.750000,true,2301,0.462106,0.848889,0.317460
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-41-46-426,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,5,0.750000,true,2119,0.439306,0.950000,0.285714
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-42-01-443,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,3,1.000000,true,2471,0.401214,0.397727,0.404762
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-41-53-887,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,3,1.000000,false,4912,0.398080,0.327058,0.508503
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/ICCCM2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2025-04-21-14-41-29-093,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,3,0.750000,true,2503,0.397785,0.298657,0.595408
