Output dir, Input file, Query file, Ground truth file, Min size, Min occ comp, Mid time point, Running time, F1, P, R
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-19-19-35-760,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,11,0,FALSE,282932,0.934581,0.948681,0.920894
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-19-27-47-192,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,12,0,FALSE,748540,0.888874,0.956923,0.82986
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-11-51-10-892,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,11,0.5,FALSE,350729,0.7856,0.935238,0.677241
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-17-39-49-597,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,12,0.5,FALSE,230629,0.723404,0.944444,0.586207
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-19-43-02-837,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,14,0,FALSE,1663019,0.562832,1,0.391626
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-19-23-42-747,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,11,0,TRUE,527381,0.536013,0.969697,0.37037
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-18-02-59-445,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,11,0.75,FALSE,1630444,0.514923,0.936224,0.355119
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-18-11-12-555,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,12,0.75,FALSE,2118243,0.449393,0.948718,0.29443
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-17-47-44-639,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,13,0.5,FALSE,693050,0.304802,1,0.179803
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-17-43-40-323,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,12,0.5,TRUE,474958,0.29129,0.977778,0.171137
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-18-26-54-282,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,14,0.75,FALSE,3051287,0.1875,1,0.103448
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-18-15-07-921,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,12,0.75,TRUE,2358209,0.185185,0.987654,0.102171
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-18-42-24-459,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,12,1,FALSE,3985497,0.129032,1,0.068966
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject-opnd-score-from-midi-opnd-F_2STR-2024-06-21-18-53-55-344,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Lilypond/score-from-midi.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-ContrapunctusVI-subject.opnd,/Users/susanne/Repos/data/BachJS/DieKunstDerFuge/ContrapunctusVI/Bach-JS-Contrapunctus-VI-Subject-entries.gt,13,1,TRUE,4679570,0.126643,0.981481,0.067688
