Output dir, Input file, Query file, Ground truth file, Min size, Min occ comp, Mid time point, Running time, F1, P, R
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-49-58-447,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,4,0.500000,true,23371,0.697509,0.891111,0.573016
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-19-19-34-170,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,5,0.000000,true,35949,0.597990,0.777778,0.485714
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-50-06-265,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,5,0.500000,true,31196,0.580000,0.966667,0.414286
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-49-54-359,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,4,0.500000,false,19294,0.531364,0.527469,0.535317
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-50-24-745,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,4,0.750000,false,49692,0.485507,0.620370,0.398810
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-50-28-945,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,4,0.750000,true,54064,0.462106,0.848889,0.317460
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-50-37-478,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,5,0.750000,true,62407,0.439306,0.950000,0.285714
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-50-51-682,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,3,1.000000,true,77146,0.401214,0.397727,0.404762
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-50-44-496,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,3,1.000000,false,71931,0.398080,0.327058,0.508503
/Users/susanne/Repos/omnisia/MaxTranPatsJava/output/MML2024/Ravel/Soucy/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1-OPND-RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-OPND-F_2STR-2024-06-21-11-50-20-125,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/RAVEL-MENUET-SUR-LE-NOM-D-HAYDN-QUERY-1.OPND,/Users/susanne/Repos/data/Hommage-a-Joseph-Haydn-1909/05-Ravel-Menuet-sur-le-nom-d-Haydn/Ground-truth-files/RAVEL-HAYDN-GROUND-TRUTH-Soucy-one-os.gt,3,0.750000,true,45426,0.397785,0.298657,0.595408
