Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.60,0.21,0.25,0.27,0.40
COSIACTTECSegment,0.43,0.61,0.64,0.43,0.58
COSIARCTTEC,0.68,0.21,0.25,0.27,0.40
COSIARCTTECSegment,0.45,0.61,0.64,0.43,0.58
COSIARTECSegment,0.45,0.66,0.79,0.32,0.63
COSIATEC,0.58,0.20,0.29,0.20,0.37
COSIATEC-MIN-3,0.58,0.25,0.29,0.21,0.37
COSIATECSegment,0.42,0.84,0.71,0.34,0.69
Forth,0.22,0.49,0.32,0.31,0.37
ForthCT,0.61,0.72,0.52,0.34,0.69
ForthCTSegment,0.44,0.72,0.57,0.32,0.69
ForthRCT,0.61,0.72,0.52,0.34,0.69
ForthRCTSegment,0.44,0.72,0.57,0.32,0.69
SIARTECCompressSegment,0.34,0.68,0.84,0.35,0.63
SIATECCompress,0.42,0.24,0.26,0.27,0.35
SIATECCompressSegment,0.43,0.75,0.81,0.34,0.58
