algorithm,file,nP,nQ,P3,R3,TLF1
COSIACTTEC,bach_wtc2f20_COSIACTTEC,3,21,0.1605,0.8180,0.2684
COSIACTTEC,beet_sonata01-3_COSIACTTEC,7,21,0.1041,0.1948,0.1357
COSIACTTEC,chop_mazurka24-4_COSIACTTEC,4,42,0.0324,0.2458,0.0573
COSIACTTEC,gbns_silverswan_COSIACTTEC,4,14,0.1314,0.3152,0.1855
COSIACTTEC,mzrt_sonata04-2_COSIACTTEC,9,20,0.2101,0.4002,0.2755
COSIACTTEC-RRT,bach_wtc2f20_COSIACTTEC-RRT,3,17,0.1560,0.4694,0.2342
COSIACTTEC-RRT,beet_sonata01-3_COSIACTTEC-RRT,7,20,0.1078,0.2034,0.1409
COSIACTTEC-RRT,chop_mazurka24-4_COSIACTTEC-RRT,4,42,0.0324,0.2458,0.0573
COSIACTTEC-RRT,gbns_silverswan_COSIACTTEC-RRT,4,14,0.1314,0.3152,0.1855
COSIACTTEC-RRT,mzrt_sonata04-2_COSIACTTEC-RRT,9,20,0.2094,0.4002,0.2749
COSIACTTECBB,bach_wtc2f20_COSIACTTECBB,3,21,0.1543,0.7537,0.2562
COSIACTTECBB,beet_sonata01-3_COSIACTTECBB,7,21,0.1645,0.2634,0.2025
COSIACTTECBB,chop_mazurka24-4_COSIACTTECBB,4,42,0.0645,0.3427,0.1085
COSIACTTECBB,gbns_silverswan_COSIACTTECBB,4,14,0.1593,0.3400,0.2170
COSIACTTECBB,mzrt_sonata04-2_COSIACTTECBB,9,20,0.2599,0.4460,0.3284
COSIACTTECBB-RRT,bach_wtc2f20_COSIACTTECBB-RRT,3,17,0.1525,0.4316,0.2254
COSIACTTECBB-RRT,beet_sonata01-3_COSIACTTECBB-RRT,7,20,0.1792,0.2970,0.2235
COSIACTTECBB-RRT,chop_mazurka24-4_COSIACTTECBB-RRT,4,42,0.0645,0.3427,0.1085
COSIACTTECBB-RRT,gbns_silverswan_COSIACTTECBB-RRT,4,14,0.1593,0.3400,0.2170
COSIACTTECBB-RRT,mzrt_sonata04-2_COSIACTTECBB-RRT,9,20,0.2585,0.4460,0.3273
COSIACTTECSegment,bach_wtc2f20_COSIACTTECSegment,3,21,0.1294,0.4516,0.2012
COSIACTTECSegment,beet_sonata01-3_COSIACTTECSegment,7,21,0.3210,0.5896,0.4157
COSIACTTECSegment,chop_mazurka24-4_COSIACTTECSegment,4,42,0.1660,0.6293,0.2627
COSIACTTECSegment,gbns_silverswan_COSIACTTECSegment,4,14,0.2550,0.4846,0.3342
COSIACTTECSegment,mzrt_sonata04-2_COSIACTTECSegment,9,20,0.3690,0.5779,0.4504
COSIACTTECSegment-RRT,bach_wtc2f20_COSIACTTECSegment-RRT,3,17,0.1105,0.3402,0.1668
COSIACTTECSegment-RRT,beet_sonata01-3_COSIACTTECSegment-RRT,7,20,0.3347,0.5936,0.4281
COSIACTTECSegment-RRT,chop_mazurka24-4_COSIACTTECSegment-RRT,4,42,0.1660,0.6293,0.2627
COSIACTTECSegment-RRT,gbns_silverswan_COSIACTTECSegment-RRT,4,14,0.2550,0.4846,0.3342
COSIACTTECSegment-RRT,mzrt_sonata04-2_COSIACTTECSegment-RRT,9,20,0.3683,0.5786,0.4501
COSIARCTTEC,bach_wtc2f20_COSIARCTTEC,3,21,0.1605,0.8180,0.2684
COSIARCTTEC,beet_sonata01-3_COSIARCTTEC,7,21,0.1041,0.1948,0.1357
COSIARCTTEC,chop_mazurka24-4_COSIARCTTEC,4,42,0.0324,0.2458,0.0573
COSIARCTTEC,gbns_silverswan_COSIARCTTEC,4,14,0.1314,0.3152,0.1855
COSIARCTTEC,mzrt_sonata04-2_COSIARCTTEC,9,22,0.1940,0.4002,0.2613
COSIARCTTEC-RRT,bach_wtc2f20_COSIARCTTEC-RRT,3,17,0.1560,0.4694,0.2342
COSIARCTTEC-RRT,beet_sonata01-3_COSIARCTTEC-RRT,7,20,0.1078,0.2034,0.1409
COSIARCTTEC-RRT,chop_mazurka24-4_COSIARCTTEC-RRT,4,42,0.0324,0.2458,0.0573
COSIARCTTEC-RRT,gbns_silverswan_COSIARCTTEC-RRT,4,14,0.1314,0.3152,0.1855
COSIARCTTEC-RRT,mzrt_sonata04-2_COSIARCTTEC-RRT,9,22,0.1934,0.4002,0.2607
COSIARCTTECBB,bach_wtc2f20_COSIARCTTECBB,3,21,0.1543,0.7537,0.2562
COSIARCTTECBB,beet_sonata01-3_COSIARCTTECBB,7,21,0.1645,0.2634,0.2025
COSIARCTTECBB,chop_mazurka24-4_COSIARCTTECBB,4,42,0.0645,0.3427,0.1085
COSIARCTTECBB,gbns_silverswan_COSIARCTTECBB,4,14,0.1593,0.3400,0.2170
COSIARCTTECBB,mzrt_sonata04-2_COSIARCTTECBB,9,22,0.2413,0.4460,0.3131
COSIARCTTECBB-RRT,bach_wtc2f20_COSIARCTTECBB-RRT,3,17,0.1525,0.4316,0.2254
COSIARCTTECBB-RRT,beet_sonata01-3_COSIARCTTECBB-RRT,7,20,0.1792,0.2970,0.2235
COSIARCTTECBB-RRT,chop_mazurka24-4_COSIARCTTECBB-RRT,4,42,0.0645,0.3427,0.1085
COSIARCTTECBB-RRT,gbns_silverswan_COSIARCTTECBB-RRT,4,14,0.1593,0.3400,0.2170
COSIARCTTECBB-RRT,mzrt_sonata04-2_COSIARCTTECBB-RRT,9,22,0.2399,0.4460,0.3120
COSIARCTTECSegment,bach_wtc2f20_COSIARCTTECSegment,3,21,0.1294,0.4516,0.2012
