Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.27,0.14,0.06,0.19,0.28
COSIACTTEC-RRT,0.23,0.14,0.06,0.19,0.27
COSIACTTECBB,0.26,0.20,0.11,0.22,0.33
COSIACTTECBB-RRT,0.23,0.22,0.11,0.22,0.33
COSIACTTECSegment,0.20,0.42,0.26,0.33,0.45
COSIACTTECSegment-RRT,0.17,0.43,0.26,0.33,0.45
COSIARCTTEC,0.27,0.14,0.06,0.19,0.26
COSIARCTTEC-RRT,0.23,0.14,0.06,0.19,0.26
COSIARCTTECBB,0.26,0.20,0.11,0.22,0.31
COSIARCTTECBB-RRT,0.23,0.22,0.11,0.22,0.31
COSIARCTTECSegment,0.20,0.42,0.26,0.33,0.43
COSIARCTTECSegment-RRT,0.17,0.43,0.26,0.33,0.43
COSIARTEC,0.19,0.12,0.04,0.12,0.17
COSIARTEC-RRT,0.20,0.10,0.04,0.12,0.16
COSIARTECBB,0.19,0.34,0.20,0.29,0.33
COSIARTECBB-RRT,0.22,0.41,0.18,0.29,0.30
COSIARTECSegment,0.17,0.56,0.42,0.38,0.50
COSIARTECSegment-RRT,0.18,0.68,0.41,0.38,0.54
COSIATEC,0.19,0.13,0.06,0.14,0.21
COSIATEC-RRT,0.19,0.10,0.04,0.14,0.20
COSIATECBB,0.20,0.45,0.16,0.26,0.36
COSIATECBB-RRT,0.21,0.33,0.15,0.26,0.37
COSIATECSegment,0.18,0.66,0.31,0.38,0.55
COSIATECSegment-RRT,0.18,0.61,0.35,0.38,0.56
Forth,0.16,0.32,0.12,0.31,0.24
Forth-RRT,0.15,0.26,0.12,0.31,0.23
ForthBB,0.16,0.35,0.19,0.25,0.28
ForthBB-RRT,0.17,0.29,0.19,0.25,0.28
ForthCT,0.34,0.55,0.25,0.33,0.56
ForthCT-RRT,0.34,0.41,0.25,0.33,0.56
ForthCTBB,0.33,0.57,0.30,0.32,0.58
ForthCTBB-RRT,0.34,0.43,0.30,0.32,0.58
ForthCTSegment,0.26,0.57,0.33,0.31,0.59
ForthCTSegment-RRT,0.28,0.45,0.33,0.31,0.59
ForthR,0.29,0.21,0.13,0.30,0.27
ForthR-RRT,0.31,0.19,0.13,0.30,0.27
ForthRBB,0.27,0.31,0.19,0.24,0.33
ForthRBB-RRT,0.29,0.26,0.18,0.24,0.33
ForthRCT,0.34,0.55,0.25,0.33,0.56
ForthRCT-RRT,0.34,0.41,0.25,0.33,0.56
ForthRCTBB,0.33,0.57,0.30,0.32,0.58
ForthRCTBB-RRT,0.34,0.43,0.30,0.32,0.58
ForthRCTSegment,0.26,0.57,0.33,0.31,0.59
ForthRCTSegment-RRT,0.28,0.45,0.33,0.31,0.59
ForthRSegment,0.26,0.36,0.29,0.24,0.39
ForthRSegment-RRT,0.28,0.31,0.28,0.24,0.39
ForthSegment,0.18,0.38,0.33,0.25,0.34
ForthSegment-RRT,0.24,0.32,0.33,0.25,0.34
ReCOSIACTTEC,0.27,0.14,0.06,0.19,0.28
ReCOSIACTTEC-RRT,0.23,0.14,0.06,0.19,0.27
ReCOSIACTTECBB,0.26,0.20,0.11,0.22,0.33
ReCOSIACTTECBB-RRT,0.23,0.22,0.11,0.22,0.33
ReCOSIACTTECSegment,0.20,0.42,0.26,0.33,0.45
ReCOSIACTTECSegment-RRT,0.17,0.43,0.26,0.33,0.45
ReCOSIARCTTEC,0.27,0.14,0.06,0.19,0.26
ReCOSIARCTTEC-RRT,0.23,0.14,0.06,0.19,0.26
ReCOSIARCTTECBB,0.26,0.20,0.11,0.22,0.31
ReCOSIARCTTECBB-RRT,0.23,0.22,0.11,0.22,0.31
ReCOSIARCTTECSegment,0.20,0.42,0.26,0.33,0.43
