Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.82,0.19,0.25,0.32,0.40
COSIACTTEC-RRT,0.47,0.20,0.25,0.32,0.40
COSIACTTECBB,0.75,0.26,0.34,0.34,0.45
COSIACTTECBB-RRT,0.43,0.30,0.34,0.34,0.45
COSIACTTECSegment,0.45,0.59,0.63,0.48,0.58
COSIACTTECSegment-RRT,0.34,0.59,0.63,0.48,0.58
COSIARCTTEC,0.82,0.19,0.25,0.32,0.40
COSIARCTTEC-RRT,0.47,0.20,0.25,0.32,0.40
COSIARCTTECBB,0.75,0.26,0.34,0.34,0.45
COSIARCTTECBB-RRT,0.43,0.30,0.34,0.34,0.45
COSIARCTTECSegment,0.45,0.59,0.63,0.48,0.58
COSIARCTTECSegment-RRT,0.34,0.59,0.63,0.48,0.58
COSIARTEC,0.69,0.20,0.21,0.15,0.33
COSIARTEC-RRT,0.48,0.16,0.21,0.15,0.31
COSIARTECBB,0.63,0.49,0.56,0.34,0.48
COSIARTECBB-RRT,0.49,0.57,0.52,0.34,0.51
COSIARTECSegment,0.45,0.66,0.79,0.32,0.63
COSIARTECSegment-RRT,0.34,0.75,0.79,0.32,0.68
COSIATEC,0.58,0.20,0.29,0.20,0.37
COSIATEC-RRT,0.48,0.16,0.22,0.20,0.37
COSIATECBB,0.52,0.68,0.53,0.33,0.55
COSIATECBB-RRT,0.49,0.49,0.40,0.33,0.55
COSIATECSegment,0.42,0.84,0.71,0.34,0.69
COSIATECSegment-RRT,0.34,0.76,0.62,0.34,0.69
Forth,0.22,0.49,0.32,0.31,0.37
Forth-RRT,0.17,0.41,0.31,0.31,0.37
ForthBB,0.21,0.47,0.31,0.25,0.41
ForthBB-RRT,0.18,0.41,0.31,0.25,0.41
ForthCT,0.55,0.72,0.54,0.34,0.67
ForthCT-RRT,0.51,0.55,0.54,0.34,0.67
ForthCTBB,0.52,0.72,0.59,0.32,0.67
ForthCTBB-RRT,0.52,0.55,0.59,0.32,0.67
ForthCTSegment,0.39,0.72,0.61,0.32,0.68
ForthCTSegment-RRT,0.44,0.55,0.61,0.32,0.68
ForthR,0.39,0.35,0.31,0.32,0.37
ForthR-RRT,0.39,0.35,0.31,0.32,0.37
ForthRBB,0.36,0.43,0.32,0.25,0.41
ForthRBB-RRT,0.36,0.43,0.32,0.25,0.41
ForthRCT,0.55,0.72,0.54,0.34,0.67
ForthRCT-RRT,0.51,0.55,0.54,0.34,0.67
ForthRCTBB,0.52,0.72,0.59,0.32,0.67
ForthRCTBB-RRT,0.52,0.55,0.59,0.32,0.67
ForthRCTSegment,0.39,0.72,0.61,0.32,0.68
ForthRCTSegment-RRT,0.44,0.55,0.61,0.32,0.68
ForthRSegment,0.37,0.47,0.38,0.26,0.45
ForthRSegment-RRT,0.37,0.47,0.38,0.26,0.45
ForthSegment,0.28,0.48,0.44,0.25,0.46
ForthSegment-RRT,0.29,0.41,0.42,0.25,0.46
ReCOSIACTTEC,0.82,0.19,0.25,0.32,0.40
ReCOSIACTTEC-RRT,0.47,0.20,0.25,0.32,0.40
ReCOSIACTTECBB,0.75,0.26,0.34,0.34,0.45
ReCOSIACTTECBB-RRT,0.43,0.30,0.34,0.34,0.45
ReCOSIACTTECSegment,0.45,0.59,0.63,0.48,0.58
ReCOSIACTTECSegment-RRT,0.34,0.59,0.63,0.48,0.58
ReCOSIARCTTEC,0.82,0.19,0.25,0.32,0.40
ReCOSIARCTTEC-RRT,0.47,0.20,0.25,0.32,0.40
ReCOSIARCTTECBB,0.75,0.26,0.34,0.34,0.45
ReCOSIARCTTECBB-RRT,0.43,0.30,0.34,0.34,0.45
ReCOSIARCTTECSegment,0.45,0.59,0.63,0.48,0.58
ReCOSIARCTTECSegment-RRT,0.34,0.59,0.63,0.48,0.58
ReCOSIARTEC,0.69,0.20,0.21,0.15,0.33
ReCOSIARTEC-RRT,0.48,0.16,0.21,0.15,0.31
ReCOSIARTECBB,0.63,0.49,0.56,0.34,0.48
ReCOSIARTECBB-RRT,0.49,0.57,0.52,0.34,0.51
ReCOSIARTECSegment,0.45,0.66,0.79,0.32,0.63
ReCOSIARTECSegment-RRT,0.34,0.75,0.79,0.32,0.68
ReCOSIATEC,0.58,0.20,0.29,0.20,0.37
ReCOSIATEC-RRT,0.48,0.16,0.22,0.20,0.37
ReCOSIATECBB,0.52,0.68,0.53,0.33,0.55
ReCOSIATECBB-RRT,0.49,0.49,0.40,0.33,0.55
ReCOSIATECSegment,0.42,0.84,0.71,0.34,0.69
ReCOSIATECSegment-RRT,0.34,0.76,0.62,0.34,0.69
ReForth,0.22,0.49,0.32,0.31,0.37
ReForth-RRT,0.17,0.41,0.31,0.31,0.37
ReForthBB,0.21,0.47,0.31,0.25,0.41
ReForthBB-RRT,0.18,0.41,0.31,0.25,0.41
ReForthCT,0.55,0.72,0.54,0.34,0.67
ReForthCT-RRT,0.51,0.55,0.54,0.34,0.67
ReForthCTBB,0.52,0.72,0.59,0.32,0.67
ReForthCTBB-RRT,0.52,0.55,0.59,0.32,0.67
ReForthCTSegment,0.39,0.72,0.61,0.32,0.68
ReForthCTSegment-RRT,0.44,0.55,0.61,0.32,0.68
ReForthR,0.39,0.35,0.31,0.32,0.37
ReForthR-RRT,0.39,0.35,0.31,0.32,0.37
ReForthRBB,0.36,0.43,0.32,0.25,0.41
ReForthRBB-RRT,0.36,0.43,0.32,0.25,0.41
ReForthRCT,0.55,0.72,0.54,0.34,0.67
ReForthRCT-RRT,0.51,0.55,0.54,0.34,0.67
ReForthRCTBB,0.52,0.72,0.59,0.32,0.67
ReForthRCTBB-RRT,0.52,0.55,0.59,0.32,0.67
ReForthRCTSegment,0.39,0.72,0.61,0.32,0.68
ReForthRCTSegment-RRT,0.44,0.55,0.61,0.32,0.68
ReForthRSegment,0.37,0.47,0.38,0.26,0.45
ReForthRSegment-RRT,0.37,0.47,0.38,0.26,0.45
ReForthSegment,0.28,0.48,0.44,0.25,0.46
ReForthSegment-RRT,0.29,0.41,0.42,0.25,0.46
ReSIACTTECCompress,0.65,0.33,0.27,0.27,0.52
ReSIACTTECCompress-RRT,0.60,0.33,0.27,0.26,0.52
ReSIACTTECCompressBB,0.62,0.39,0.39,0.36,0.54
ReSIACTTECCompressBB-RRT,0.58,0.39,0.39,0.35,0.54
ReSIACTTECCompressSegment,0.47,0.40,0.53,0.33,0.54
ReSIACTTECCompressSegment-RRT,0.44,0.41,0.53,0.31,0.54
ReSIARCTTECCompress,0.65,0.33,0.27,0.27,0.52
ReSIARCTTECCompress-RRT,0.60,0.33,0.27,0.26,0.52
ReSIARCTTECCompressBB,0.62,0.39,0.39,0.36,0.54
ReSIARCTTECCompressBB-RRT,0.58,0.39,0.39,0.35,0.54
ReSIARCTTECCompressSegment,0.47,0.40,0.53,0.33,0.54
ReSIARCTTECCompressSegment-RRT,0.44,0.41,0.53,0.31,0.54
ReSIARTECCompress,0.40,0.24,0.22,0.25,0.30
ReSIARTECCompress-RRT,0.44,0.24,0.22,0.25,0.29
ReSIARTECCompressBB,0.38,0.56,0.65,0.36,0.53
ReSIARTECCompressBB-RRT,0.42,0.55,0.68,0.36,0.52
ReSIARTECCompressSegment,0.34,0.68,0.84,0.35,0.63
ReSIARTECCompressSegment-RRT,0.37,0.68,0.84,0.35,0.61
ReSIATECCompress,0.42,0.24,0.26,0.27,0.35
ReSIATECCompress-RRT,0.51,0.23,0.25,0.27,0.35
ReSIATECCompressBB,0.45,0.62,0.57,0.35,0.54
ReSIATECCompressBB-RRT,0.48,0.57,0.58,0.35,0.52
ReSIATECCompressSegment,0.43,0.75,0.81,0.34,0.58
ReSIATECCompressSegment-RRT,0.43,0.73,0.82,0.34,0.58
SIACTTECCompress,0.65,0.33,0.27,0.27,0.52
SIACTTECCompress-RRT,0.60,0.33,0.27,0.26,0.52
SIACTTECCompressBB,0.62,0.39,0.39,0.36,0.54
SIACTTECCompressBB-RRT,0.58,0.39,0.39,0.35,0.54
SIACTTECCompressSegment,0.47,0.40,0.53,0.33,0.54
SIACTTECCompressSegment-RRT,0.44,0.41,0.53,0.31,0.54
SIARCTTECCompress,0.65,0.33,0.27,0.27,0.52
SIARCTTECCompress-RRT,0.60,0.33,0.27,0.26,0.52
SIARCTTECCompressBB,0.62,0.39,0.39,0.36,0.54
SIARCTTECCompressBB-RRT,0.58,0.39,0.39,0.35,0.54
SIARCTTECCompressSegment,0.47,0.40,0.53,0.33,0.54
SIARCTTECCompressSegment-RRT,0.44,0.41,0.53,0.31,0.54
SIARTECCompress,0.40,0.24,0.22,0.25,0.30
SIARTECCompress-RRT,0.44,0.24,0.22,0.25,0.29
SIARTECCompressBB,0.38,0.56,0.65,0.36,0.53
