Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.4415,0.2570,0.1019,0.2427,0.3957
COSIACTTEC-RRT,0.1246,0.2655,0.1019,0.2427,0.3957
COSIACTTECBB,0.4108,0.3492,0.1491,0.2693,0.4283
COSIACTTECBB-RRT,0.1279,0.3578,0.1491,0.2693,0.4283
COSIACTTECSegment,0.3477,0.3630,0.2259,0.2701,0.4446
COSIACTTECSegment-RRT,0.1096,0.3737,0.2259,0.2701,0.4446
COSIARCTTEC,0.4415,0.2570,0.1019,0.2427,0.3957
COSIARCTTEC-RRT,0.1246,0.2655,0.1019,0.2427,0.3957
COSIARCTTECBB,0.4108,0.3492,0.1491,0.2693,0.4283
COSIARCTTECBB-RRT,0.1279,0.3578,0.1491,0.2693,0.4283
COSIARCTTECSegment,0.3477,0.3630,0.2259,0.2701,0.4446
COSIARCTTECSegment-RRT,0.1096,0.3737,0.2259,0.2701,0.4446
COSIARTEC,0.3310,0.1165,0.0986,0.1063,0.2398
COSIARTEC-RRT,0.1246,0.1083,0.1059,0.1063,0.3786
COSIARTECBB,0.3062,0.2529,0.2553,0.3466,0.3466
COSIARTECBB-RRT,0.1292,0.3531,0.2538,0.3466,0.5194
COSIARTECSegment,0.2592,0.2991,0.4877,0.6126,0.4376
COSIARTECSegment-RRT,0.1112,0.5617,0.5508,0.6126,0.6662
COSIATEC,0.3310,0.1344,0.1097,0.1460,0.3195
COSIATEC-RRT,0.1246,0.0841,0.0938,0.1460,0.3195
COSIATECBB,0.3062,0.2673,0.2490,0.2818,0.4688
COSIATECBB-RRT,0.1292,0.3514,0.1879,0.2818,0.4688
COSIATECSegment,0.2592,0.3085,0.3737,0.5812,0.5502
COSIATECSegment-RRT,0.1112,0.5218,0.4677,0.5812,0.5502
Forth,0.1965,0.2662,0.1412,0.2513,0.3719
Forth-RRT,0.1417,0.2651,0.1315,0.2513,0.3719
ForthBB,0.1959,0.2593,0.1842,0.2034,0.3842
ForthBB-RRT,0.1711,0.2571,0.1642,0.2034,0.3842
ForthCT,0.2296,0.4663,0.4467,0.2628,0.5738
ForthCT-RRT,0.3940,0.4745,0.4469,0.2628,0.5738
ForthCTBB,0.2269,0.4669,0.4898,0.2502,0.5738
ForthCTBB-RRT,0.3794,0.4750,0.4900,0.2502,0.5738
ForthCTSegment,0.2152,0.4871,0.5090,0.2506,0.5738
ForthCTSegment-RRT,0.2979,0.4977,0.5093,0.2506,0.5738
ForthR,0.2709,0.2530,0.1277,0.2778,0.3719
ForthR-RRT,0.2888,0.0607,0.1271,0.2778,0.3719
ForthRBB,0.2533,0.2814,0.1589,0.2233,0.3842
ForthRBB-RRT,0.2712,0.0844,0.1552,0.2233,0.3842
ForthRCT,0.2296,0.4663,0.4467,0.2628,0.5738
ForthRCT-RRT,0.3940,0.4745,0.4469,0.2628,0.5738
ForthRCTBB,0.2269,0.4669,0.4898,0.2502,0.5738
ForthRCTBB-RRT,0.3794,0.4750,0.4900,0.2502,0.5738
ForthRCTSegment,0.2152,0.4871,0.5090,0.2506,0.5738
ForthRCTSegment-RRT,0.2979,0.4977,0.5093,0.2506,0.5738
ForthRSegment,0.1926,0.3175,0.2559,0.2291,0.4480
ForthRSegment-RRT,0.2093,0.1316,0.2588,0.2291,0.4480
ForthSegment,0.1878,0.2854,0.3386,0.1974,0.4480
ForthSegment-RRT,0.1816,0.2830,0.2736,0.1974,0.4480
ReCOSIACTTEC,0.4415,0.2570,0.1019,0.2427,0.3957
ReCOSIACTTEC-RRT,0.1246,0.2655,0.1019,0.2427,0.3957
ReCOSIACTTECBB,0.4108,0.3492,0.1491,0.2693,0.4283
ReCOSIACTTECBB-RRT,0.1279,0.3578,0.1491,0.2693,0.4283
ReCOSIACTTECSegment,0.3477,0.3630,0.2259,0.2701,0.4446
ReCOSIACTTECSegment-RRT,0.1096,0.3737,0.2259,0.2701,0.4446
ReCOSIARCTTEC,0.4415,0.2570,0.1019,0.2427,0.3957
ReCOSIARCTTEC-RRT,0.1246,0.2655,0.1019,0.2427,0.3957
ReCOSIARCTTECBB,0.4108,0.3492,0.1491,0.2693,0.4283
ReCOSIARCTTECBB-RRT,0.1279,0.3578,0.1491,0.2693,0.4283
ReCOSIARCTTECSegment,0.3477,0.3630,0.2259,0.2701,0.4446
ReCOSIARCTTECSegment-RRT,0.1096,0.3737,0.2259,0.2701,0.4446
ReCOSIARTEC,0.3310,0.1165,0.0986,0.1063,0.2398
ReCOSIARTEC-RRT,0.1246,0.1083,0.1059,0.1063,0.3786
ReCOSIARTECBB,0.3062,0.2529,0.2553,0.3466,0.3466
ReCOSIARTECBB-RRT,0.1292,0.3531,0.2538,0.3466,0.5194
ReCOSIARTECSegment,0.2592,0.2991,0.4877,0.6126,0.4376
ReCOSIARTECSegment-RRT,0.1112,0.5617,0.5508,0.6126,0.6662
ReCOSIATEC,0.3310,0.1344,0.1097,0.1460,0.3195
ReCOSIATEC-RRT,0.1246,0.0841,0.0938,0.1460,0.3195
ReCOSIATECBB,0.3062,0.2673,0.2490,0.2818,0.4688
ReCOSIATECBB-RRT,0.1292,0.3514,0.1879,0.2818,0.4688
ReCOSIATECSegment,0.2592,0.3085,0.3737,0.5812,0.5502
ReCOSIATECSegment-RRT,0.1112,0.5218,0.4677,0.5812,0.5502
ReForth,0.1965,0.2662,0.1412,0.2513,0.3719
ReForth-RRT,0.1417,0.2651,0.1315,0.2513,0.3719
ReForthBB,0.1959,0.2593,0.1842,0.2034,0.3842
ReForthBB-RRT,0.1711,0.2571,0.1642,0.2034,0.3842
ReForthCT,0.2296,0.4663,0.4467,0.2628,0.5738
ReForthCT-RRT,0.3940,0.4745,0.4469,0.2628,0.5738
ReForthCTBB,0.2269,0.4669,0.4898,0.2502,0.5738
ReForthCTBB-RRT,0.3794,0.4750,0.4900,0.2502,0.5738
ReForthCTSegment,0.2152,0.4871,0.5090,0.2506,0.5738
ReForthCTSegment-RRT,0.2979,0.4977,0.5093,0.2506,0.5738
ReForthR,0.2709,0.2530,0.1277,0.2778,0.3719
ReForthR-RRT,0.2888,0.0607,0.1271,0.2778,0.3719
ReForthRBB,0.2533,0.2814,0.1589,0.2233,0.3842
ReForthRBB-RRT,0.2712,0.0844,0.1552,0.2233,0.3842
ReForthRCT,0.2296,0.4663,0.4467,0.2628,0.5738
ReForthRCT-RRT,0.3940,0.4745,0.4469,0.2628,0.5738
ReForthRCTBB,0.2269,0.4669,0.4898,0.2502,0.5738
ReForthRCTBB-RRT,0.3794,0.4750,0.4900,0.2502,0.5738
ReForthRCTSegment,0.2152,0.4871,0.5090,0.2506,0.5738
ReForthRCTSegment-RRT,0.2979,0.4977,0.5093,0.2506,0.5738
ReForthRSegment,0.1926,0.3175,0.2559,0.2291,0.4480
ReForthRSegment-RRT,0.2093,0.1316,0.2588,0.2291,0.4480
ReForthSegment,0.1878,0.2854,0.3386,0.1974,0.4480
ReForthSegment-RRT,0.1816,0.2830,0.2736,0.1974,0.4480
ReSIACTTECCompress,0.4949,0.1907,0.2809,0.1922,0.5225
