Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.1605,0.1041,0.0324,0.1314,0.2101
COSIACTTEC-RRT,0.1560,0.1078,0.0324,0.1314,0.2094
COSIACTTECBB,0.1543,0.1645,0.0645,0.1593,0.2599
COSIACTTECBB-RRT,0.1525,0.1792,0.0645,0.1593,0.2585
COSIACTTECSegment,0.1294,0.3210,0.1660,0.2550,0.3690
COSIACTTECSegment-RRT,0.1105,0.3347,0.1660,0.2550,0.3683
COSIARCTTEC,0.1605,0.1041,0.0324,0.1314,0.1940
COSIARCTTEC-RRT,0.1560,0.1078,0.0324,0.1314,0.1934
COSIARCTTECBB,0.1543,0.1645,0.0645,0.1593,0.2413
COSIARCTTECBB-RRT,0.1525,0.1792,0.0645,0.1593,0.2399
COSIARCTTECSegment,0.1294,0.3210,0.1660,0.2550,0.3398
COSIARCTTECSegment-RRT,0.1105,0.3347,0.1660,0.2550,0.3398
COSIARTEC,0.1098,0.0883,0.0214,0.0959,0.1173
COSIARTEC-RRT,0.1246,0.0766,0.0240,0.0959,0.1072
COSIARTECBB,0.1127,0.2564,0.1197,0.2491,0.2556
COSIARTECBB-RRT,0.1406,0.3219,0.1127,0.2491,0.2125
COSIARTECSegment,0.1082,0.4823,0.2819,0.4682,0.4154
COSIARTECSegment-RRT,0.1268,0.6251,0.2790,0.4682,0.4427
COSIATEC,0.1104,0.0988,0.0329,0.1064,0.1477
COSIATEC-RRT,0.1150,0.0708,0.0235,0.1064,0.1390
COSIATECBB,0.1222,0.3393,0.0931,0.2231,0.2724
COSIATECBB-RRT,0.1350,0.2447,0.0905,0.2231,0.2794
COSIATECSegment,0.1149,0.5477,0.1972,0.4367,0.4611
COSIATECSegment-RRT,0.1229,0.5147,0.2405,0.4367,0.4749
Forth,0.1287,0.2346,0.0763,0.3141,0.1730
Forth-RRT,0.1276,0.1956,0.0748,0.3141,0.1660
ForthBB,0.1312,0.2805,0.1316,0.2542,0.2161
ForthBB-RRT,0.1530,0.2240,0.1363,0.2542,0.2071
ForthCT,0.2423,0.4436,0.1622,0.3285,0.4731
ForthCT-RRT,0.2569,0.3314,0.1623,0.3285,0.4745
ForthCTBB,0.2368,0.4670,0.2012,0.3128,0.5086
ForthCTBB-RRT,0.2533,0.3608,0.2014,0.3128,0.5107
ForthCTSegment,0.1986,0.4784,0.2232,0.3133,0.5178
ForthCTSegment-RRT,0.2079,0.3764,0.2236,0.3133,0.5237
ForthR,0.2254,0.1512,0.0791,0.2778,0.2174
ForthR-RRT,0.2574,0.1338,0.0790,0.2778,0.2174
ForthRBB,0.2169,0.2390,0.1334,0.2233,0.2775
ForthRBB-RRT,0.2480,0.1884,0.1299,0.2233,0.2775
ForthRCT,0.2423,0.4436,0.1622,0.3285,0.4731
ForthRCT-RRT,0.2569,0.3314,0.1623,0.3285,0.4745
ForthRCTBB,0.2368,0.4670,0.2012,0.3128,0.5086
ForthRCTBB-RRT,0.2533,0.3608,0.2014,0.3128,0.5107
ForthRCTSegment,0.1986,0.4784,0.2232,0.3133,0.5178
ForthRCTSegment-RRT,0.2079,0.3764,0.2236,0.3133,0.5237
ForthRSegment,0.1989,0.2932,0.2289,0.2291,0.3447
ForthRSegment-RRT,0.2271,0.2361,0.2169,0.2291,0.3447
ForthSegment,0.1308,0.3102,0.2708,0.2467,0.2756
ForthSegment-RRT,0.1976,0.2617,0.2676,0.2467,0.2638
ReCOSIACTTEC,0.1605,0.1041,0.0324,0.1314,0.2101
ReCOSIACTTEC-RRT,0.1560,0.1078,0.0324,0.1314,0.2094
ReCOSIACTTECBB,0.1543,0.1645,0.0645,0.1593,0.2599
ReCOSIACTTECBB-RRT,0.1525,0.1792,0.0645,0.1593,0.2585
ReCOSIACTTECSegment,0.1294,0.3210,0.1660,0.2550,0.3690
ReCOSIACTTECSegment-RRT,0.1105,0.3347,0.1660,0.2550,0.3683
ReCOSIARCTTEC,0.1605,0.1041,0.0324,0.1314,0.1940
ReCOSIARCTTEC-RRT,0.1560,0.1078,0.0324,0.1314,0.1934
ReCOSIARCTTECBB,0.1543,0.1645,0.0645,0.1593,0.2413
ReCOSIARCTTECBB-RRT,0.1525,0.1792,0.0645,0.1593,0.2399
ReCOSIARCTTECSegment,0.1294,0.3210,0.1660,0.2550,0.3398
ReCOSIARCTTECSegment-RRT,0.1105,0.3347,0.1660,0.2550,0.3398
ReCOSIARTEC,0.1098,0.0883,0.0214,0.0959,0.1173
ReCOSIARTEC-RRT,0.1246,0.0766,0.0240,0.0959,0.1072
ReCOSIARTECBB,0.1127,0.2564,0.1197,0.2491,0.2556
ReCOSIARTECBB-RRT,0.1406,0.3219,0.1127,0.2491,0.2125
ReCOSIARTECSegment,0.1082,0.4823,0.2819,0.4682,0.4154
ReCOSIARTECSegment-RRT,0.1268,0.6251,0.2790,0.4682,0.4427
ReCOSIATEC,0.1104,0.0988,0.0329,0.1064,0.1477
ReCOSIATEC-RRT,0.1150,0.0708,0.0235,0.1064,0.1390
ReCOSIATECBB,0.1222,0.3393,0.0931,0.2231,0.2724
ReCOSIATECBB-RRT,0.1350,0.2447,0.0905,0.2231,0.2794
ReCOSIATECSegment,0.1149,0.5477,0.1972,0.4367,0.4611
ReCOSIATECSegment-RRT,0.1229,0.5147,0.2405,0.4367,0.4749
ReForth,0.1287,0.2346,0.0763,0.3141,0.1730
ReForth-RRT,0.1276,0.1956,0.0748,0.3141,0.1660
ReForthBB,0.1312,0.2805,0.1316,0.2542,0.2161
