Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.8180,0.1948,0.2458,0.3152,0.4002
COSIACTTEC-RRT,0.4694,0.2034,0.2458,0.3152,0.4002
COSIACTTECBB,0.7537,0.2634,0.3427,0.3400,0.4460
COSIACTTECBB-RRT,0.4316,0.2970,0.3427,0.3400,0.4460
COSIACTTECSegment,0.4516,0.5896,0.6293,0.4846,0.5779
COSIACTTECSegment-RRT,0.3402,0.5936,0.6293,0.4846,0.5786
COSIARCTTEC,0.8180,0.1948,0.2458,0.3152,0.4002
COSIARCTTEC-RRT,0.4694,0.2034,0.2458,0.3152,0.4002
COSIARCTTECBB,0.7537,0.2634,0.3427,0.3400,0.4460
COSIARCTTECBB-RRT,0.4316,0.2970,0.3427,0.3400,0.4460
COSIARCTTECSegment,0.4516,0.5896,0.6293,0.4846,0.5757
COSIARCTTECSegment-RRT,0.3402,0.5936,0.6293,0.4846,0.5780
COSIARTEC,0.6877,0.1960,0.2088,0.1452,0.3290
COSIARTEC-RRT,0.4762,0.1587,0.2084,0.1452,0.3109
COSIARTECBB,0.6280,0.4894,0.5572,0.3386,0.4779
COSIARTECBB-RRT,0.4920,0.5662,0.5165,0.3386,0.5062
COSIARTECSegment,0.4471,0.6629,0.7916,0.3226,0.6258
COSIARTECSegment-RRT,0.3417,0.7548,0.7900,0.3226,0.6815
COSIATEC,0.5766,0.1978,0.2904,0.2009,0.3725
COSIATEC-RRT,0.4762,0.1599,0.2190,0.2009,0.3725
COSIATECBB,0.5158,0.6786,0.5337,0.3260,0.5506
COSIATECBB-RRT,0.4920,0.4891,0.4000,0.3260,0.5506
COSIATECSegment,0.4210,0.8380,0.7071,0.3437,0.6925
COSIATECSegment-RRT,0.3417,0.7594,0.6154,0.3437,0.6873
Forth,0.2157,0.4854,0.3156,0.3141,0.3679
Forth-RRT,0.1692,0.4093,0.3147,0.3141,0.3683
ForthBB,0.2148,0.4701,0.3118,0.2521,0.4104
ForthBB-RRT,0.1816,0.4085,0.3135,0.2521,0.4104
ForthCT,0.5468,0.7213,0.5357,0.3362,0.6725
ForthCT-RRT,0.5121,0.5471,0.5357,0.3362,0.6725
ForthCTBB,0.5200,0.7156,0.5858,0.3196,0.6742
ForthCTBB-RRT,0.5200,0.5470,0.5858,0.3196,0.6742
ForthCTSegment,0.3867,0.7160,0.6101,0.3166,0.6754
ForthCTSegment-RRT,0.4418,0.5524,0.6101,0.3166,0.6754
ForthR,0.3886,0.3545,0.3116,0.3196,0.3700
ForthR-RRT,0.3886,0.3529,0.3127,0.3196,0.3700
ForthRBB,0.3592,0.4273,0.3152,0.2498,0.4096
ForthRBB-RRT,0.3592,0.4288,0.3152,0.2498,0.4096
ForthRCT,0.5468,0.7213,0.5357,0.3362,0.6725
ForthRCT-RRT,0.5121,0.5471,0.5357,0.3362,0.6725
ForthRCTBB,0.5200,0.7156,0.5858,0.3196,0.6742
ForthRCTBB-RRT,0.5200,0.5470,0.5858,0.3196,0.6742
ForthRCTSegment,0.3867,0.7160,0.6101,0.3166,0.6754
ForthRCTSegment-RRT,0.4418,0.5524,0.6101,0.3166,0.6754
ForthRSegment,0.3661,0.4650,0.3783,0.2581,0.4474
ForthRSegment-RRT,0.3661,0.4656,0.3762,0.2581,0.4474
ForthSegment,0.2844,0.4816,0.4376,0.2468,0.4595
ForthSegment-RRT,0.2909,0.4150,0.4199,0.2468,0.4595
ReCOSIACTTEC,0.8180,0.1948,0.2458,0.3152,0.4002
ReCOSIACTTEC-RRT,0.4694,0.2034,0.2458,0.3152,0.4002
ReCOSIACTTECBB,0.7537,0.2634,0.3427,0.3400,0.4460
ReCOSIACTTECBB-RRT,0.4316,0.2970,0.3427,0.3400,0.4460
ReCOSIACTTECSegment,0.4516,0.5896,0.6293,0.4846,0.5779
ReCOSIACTTECSegment-RRT,0.3402,0.5936,0.6293,0.4846,0.5786
ReCOSIARCTTEC,0.8180,0.1948,0.2458,0.3152,0.4002
ReCOSIARCTTEC-RRT,0.4694,0.2034,0.2458,0.3152,0.4002
ReCOSIARCTTECBB,0.7537,0.2634,0.3427,0.3400,0.4460
ReCOSIARCTTECBB-RRT,0.4316,0.2970,0.3427,0.3400,0.4460
ReCOSIARCTTECSegment,0.4516,0.5896,0.6293,0.4846,0.5757
ReCOSIARCTTECSegment-RRT,0.3402,0.5936,0.6293,0.4846,0.5780
ReCOSIARTEC,0.6877,0.1960,0.2088,0.1452,0.3290
ReCOSIARTEC-RRT,0.4762,0.1587,0.2084,0.1452,0.3109
ReCOSIARTECBB,0.6280,0.4894,0.5572,0.3386,0.4779
ReCOSIARTECBB-RRT,0.4920,0.5662,0.5165,0.3386,0.5062
ReCOSIARTECSegment,0.4471,0.6629,0.7916,0.3226,0.6258
ReCOSIARTECSegment-RRT,0.3417,0.7548,0.7900,0.3226,0.6815
ReCOSIATEC,0.5766,0.1978,0.2904,0.2009,0.3725
ReCOSIATEC-RRT,0.4762,0.1599,0.2190,0.2009,0.3725
ReCOSIATECBB,0.5158,0.6786,0.5337,0.3260,0.5506
ReCOSIATECBB-RRT,0.4920,0.4891,0.4000,0.3260,0.5506
ReCOSIATECSegment,0.4210,0.8380,0.7071,0.3437,0.6925
ReCOSIATECSegment-RRT,0.3417,0.7594,0.6154,0.3437,0.6873
ReForth,0.2157,0.4854,0.3156,0.3141,0.3679
ReForth-RRT,0.1692,0.4093,0.3147,0.3141,0.3683
ReForthBB,0.2148,0.4701,0.3118,0.2521,0.4104
ReForthBB-RRT,0.1816,0.4085,0.3135,0.2521,0.4104
ReForthCT,0.5468,0.7213,0.5357,0.3362,0.6725
ReForthCT-RRT,0.5121,0.5471,0.5357,0.3362,0.6725
ReForthCTBB,0.5200,0.7156,0.5858,0.3196,0.6742
ReForthCTBB-RRT,0.5200,0.5470,0.5858,0.3196,0.6742
