Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.2684,0.1357,0.0573,0.1855,0.2755
COSIACTTEC-RRT,0.2342,0.1409,0.0573,0.1855,0.2749
COSIACTTECBB,0.2562,0.2025,0.1085,0.2170,0.3284
COSIACTTECBB-RRT,0.2254,0.2235,0.1085,0.2170,0.3273
COSIACTTECSegment,0.2012,0.4157,0.2627,0.3342,0.4504
COSIACTTECSegment-RRT,0.1668,0.4281,0.2627,0.3342,0.4501
COSIARCTTEC,0.2684,0.1357,0.0573,0.1855,0.2613
COSIARCTTEC-RRT,0.2342,0.1409,0.0573,0.1855,0.2607
COSIARCTTECBB,0.2562,0.2025,0.1085,0.2170,0.3131
COSIARCTTECBB-RRT,0.2254,0.2235,0.1085,0.2170,0.3120
COSIARCTTECSegment,0.2012,0.4157,0.2627,0.3342,0.4273
COSIARCTTECSegment-RRT,0.1668,0.4281,0.2627,0.3342,0.4280
COSIARTEC,0.1893,0.1217,0.0389,0.1155,0.1730
COSIARTEC-RRT,0.1975,0.1033,0.0431,0.1155,0.1594
COSIARTECBB,0.1912,0.3365,0.1971,0.2870,0.3330
COSIARTECBB-RRT,0.2187,0.4105,0.1850,0.2870,0.2994
COSIARTECSegment,0.1743,0.5584,0.4158,0.3820,0.4994
COSIARTECSegment-RRT,0.1850,0.6838,0.4123,0.3820,0.5367
COSIATEC,0.1853,0.1318,0.0591,0.1391,0.2116
COSIATEC-RRT,0.1852,0.0981,0.0424,0.1391,0.2025
COSIATECBB,0.1976,0.4524,0.1586,0.2649,0.3645
COSIATECBB-RRT,0.2118,0.3262,0.1476,0.2649,0.3707
COSIATECSegment,0.1806,0.6624,0.3084,0.3846,0.5536
COSIATECSegment-RRT,0.1808,0.6135,0.3459,0.3846,0.5617
Forth,0.1612,0.3163,0.1229,0.3141,0.2354
Forth-RRT,0.1455,0.2647,0.1208,0.3141,0.2288
ForthBB,0.1629,0.3513,0.1851,0.2532,0.2831
ForthBB-RRT,0.1661,0.2894,0.1900,0.2532,0.2753
ForthCT,0.3358,0.5493,0.2490,0.3323,0.5554
ForthCT-RRT,0.3422,0.4128,0.2491,0.3323,0.5564
ForthCTBB,0.3254,0.5652,0.2995,0.3162,0.5798
ForthCTBB-RRT,0.3406,0.4348,0.2997,0.3162,0.5812
ForthCTSegment,0.2625,0.5736,0.3268,0.3149,0.5862
ForthCTSegment-RRT,0.2827,0.4477,0.3273,0.3149,0.5899
ForthR,0.2853,0.2120,0.1262,0.2973,0.2738
ForthR-RRT,0.3097,0.1940,0.1262,0.2973,0.2738
ForthRBB,0.2704,0.3065,0.1875,0.2358,0.3309
ForthRBB-RRT,0.2934,0.2618,0.1840,0.2358,0.3309
ForthRCT,0.3358,0.5493,0.2490,0.3323,0.5554
ForthRCT-RRT,0.3422,0.4128,0.2491,0.3323,0.5564
ForthRCTBB,0.3254,0.5652,0.2995,0.3162,0.5798
ForthRCTBB-RRT,0.3406,0.4348,0.2997,0.3162,0.5812
ForthRCTSegment,0.2625,0.5736,0.3268,0.3149,0.5862
ForthRCTSegment-RRT,0.2827,0.4477,0.3273,0.3149,0.5899
ForthRSegment,0.2577,0.3597,0.2852,0.2427,0.3894
ForthRSegment-RRT,0.2803,0.3133,0.2752,0.2427,0.3894
ForthSegment,0.1792,0.3774,0.3346,0.2468,0.3446
ForthSegment-RRT,0.2354,0.3210,0.3269,0.2468,0.3352
ReCOSIACTTEC,0.2684,0.1357,0.0573,0.1855,0.2755
ReCOSIACTTEC-RRT,0.2342,0.1409,0.0573,0.1855,0.2749
ReCOSIACTTECBB,0.2562,0.2025,0.1085,0.2170,0.3284
ReCOSIACTTECBB-RRT,0.2254,0.2235,0.1085,0.2170,0.3273
ReCOSIACTTECSegment,0.2012,0.4157,0.2627,0.3342,0.4504
ReCOSIACTTECSegment-RRT,0.1668,0.4281,0.2627,0.3342,0.4501
ReCOSIARCTTEC,0.2684,0.1357,0.0573,0.1855,0.2613
ReCOSIARCTTEC-RRT,0.2342,0.1409,0.0573,0.1855,0.2607
ReCOSIARCTTECBB,0.2562,0.2025,0.1085,0.2170,0.3131
ReCOSIARCTTECBB-RRT,0.2254,0.2235,0.1085,0.2170,0.3120
ReCOSIARCTTECSegment,0.2012,0.4157,0.2627,0.3342,0.4273
ReCOSIARCTTECSegment-RRT,0.1668,0.4281,0.2627,0.3342,0.4280
ReCOSIARTEC,0.1893,0.1217,0.0389,0.1155,0.1730
ReCOSIARTEC-RRT,0.1975,0.1033,0.0431,0.1155,0.1594
ReCOSIARTECBB,0.1912,0.3365,0.1971,0.2870,0.3330
ReCOSIARTECBB-RRT,0.2187,0.4105,0.1850,0.2870,0.2994
ReCOSIARTECSegment,0.1743,0.5584,0.4158,0.3820,0.4994
ReCOSIARTECSegment-RRT,0.1850,0.6838,0.4123,0.3820,0.5367
