Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,2.6107,4.0157,3.2729,2.0813,3.9636
COSIACTTEC-RRT,2.6390,4.0262,3.2780,2.0813,3.9636
COSIACTTECBB,2.6107,4.0157,3.2729,2.0813,3.9636
COSIACTTECBB-RRT,2.6390,4.0262,3.2780,2.0813,3.9636
COSIACTTECSegment,2.6107,4.0157,3.2729,2.0813,3.9636
COSIACTTECSegment-RRT,2.6390,4.0262,3.2780,2.0813,3.9636
COSIARCTTEC,2.6107,4.0157,3.2729,2.0813,3.9727
COSIARCTTEC-RRT,2.6390,4.0262,3.2780,2.0813,3.9727
COSIARCTTECBB,2.6107,4.0157,3.2729,2.0813,3.9727
COSIARCTTECBB-RRT,2.6390,4.0262,3.2780,2.0813,3.9727
COSIARCTTECSegment,2.6107,4.0157,3.2729,2.0813,3.9727
COSIARCTTECSegment-RRT,2.6390,4.0262,3.2780,2.0813,3.9727
COSIARTEC,2.6777,3.8450,2.9685,2.2200,3.7265
COSIARTEC-RRT,2.7795,3.5356,3.0832,2.2200,3.7996
COSIARTECBB,2.6777,3.8450,2.9685,2.2200,3.7265
COSIARTECBB-RRT,2.7795,3.5356,3.0832,2.2200,3.7996
COSIARTECSegment,2.6777,3.8450,2.9685,2.2200,3.7265
COSIARTECSegment-RRT,2.7795,3.5356,3.0832,2.2200,3.7996
COSIATEC,2.6875,3.8741,3.7796,2.3125,4.2228
COSIATEC-RRT,2.8115,3.8259,3.7054,2.3125,4.2641
COSIATECBB,2.6875,3.8741,3.7796,2.3125,4.2228
COSIATECBB-RRT,2.8115,3.8259,3.7054,2.3125,4.2641
COSIATECSegment,2.6875,3.8741,3.7796,2.3125,4.2228
COSIATECSegment-RRT,2.8115,3.8259,3.7054,2.3125,4.2641
Forth,1.2327,0.8040,1.0603,1.0954,1.3732
Forth-RRT,1.1585,0.9355,1.1186,1.0954,1.3457
ForthBB,1.2327,0.8040,1.0603,1.0954,1.3732
ForthBB-RRT,1.1585,0.9355,1.1186,1.0954,1.3457
ForthCT,1.5961,1.8073,1.7321,1.5782,2.5239
ForthCT-RRT,1.7488,2.3919,1.7422,1.5782,2.5349
ForthCTBB,1.5961,1.8073,1.7321,1.5782,2.5239
ForthCTBB-RRT,1.7488,2.3919,1.7422,1.5782,2.5349
ForthCTSegment,1.5961,1.8073,1.7321,1.5782,2.5239
ForthCTSegment-RRT,1.7488,2.3919,1.7422,1.5782,2.5349
ForthR,1.8367,1.2669,1.1174,1.0882,1.3488
ForthR-RRT,1.8413,1.0427,1.1566,1.0882,1.3488
ForthRBB,1.8367,1.2669,1.1174,1.0882,1.3488
ForthRBB-RRT,1.8413,1.0427,1.1566,1.0882,1.3488
ForthRCT,1.5961,1.8073,1.7321,1.5782,2.5239
ForthRCT-RRT,1.7488,2.3919,1.7422,1.5782,2.5349
ForthRCTBB,1.5961,1.8073,1.7321,1.5782,2.5239
ForthRCTBB-RRT,1.7488,2.3919,1.7422,1.5782,2.5349
ForthRCTSegment,1.5961,1.8073,1.7321,1.5782,2.5239
ForthRCTSegment-RRT,1.7488,2.3919,1.7422,1.5782,2.5349
ForthRSegment,1.8367,1.2669,1.1174,1.0882,1.3488
ForthRSegment-RRT,1.8413,1.0427,1.1566,1.0882,1.3488
ForthSegment,1.2327,0.8040,1.0603,1.0954,1.3732
ForthSegment-RRT,1.1585,0.9355,1.1186,1.0954,1.3457
ReCOSIACTTEC,2.6875,4.2369,3.3200,2.0813,4.2126
ReCOSIACTTEC-RRT,2.7276,4.2841,3.3253,2.0813,4.2956
ReCOSIACTTECBB,2.6875,4.2369,3.3200,2.0813,4.2126
ReCOSIACTTECBB-RRT,2.7276,4.2841,3.3253,2.0813,4.2956
ReCOSIACTTECSegment,2.6875,4.2369,3.3200,2.0813,4.2126
ReCOSIACTTECSegment-RRT,2.7276,4.2841,3.3253,2.0813,4.2956
ReCOSIARCTTEC,2.6875,4.2369,3.3200,2.0813,4.2228
ReCOSIARCTTEC-RRT,2.7276,4.2841,3.3253,2.0813,4.3062
ReCOSIARCTTECBB,2.6875,4.2369,3.3200,2.0813,4.2228
ReCOSIARCTTECBB-RRT,2.7276,4.2841,3.3253,2.0813,4.3062
ReCOSIARCTTECSegment,2.6875,4.2369,3.3200,2.0813,4.2228
ReCOSIARCTTECSegment-RRT,2.7276,4.2841,3.3253,2.0813,4.3062
ReCOSIARTEC,2.7074,4.1344,3.0924,2.2653,4.0939
