Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,1505,8426,23024,219,12925
COSIACTTEC-RRT,1367,8015,21223,224,12252
COSIACTTECBB,1614,8671,23423,265,13243
COSIACTTECBB-RRT,1379,7859,22589,212,12154
COSIACTTECSegment,1581,8655,22916,232,13285
COSIACTTECSegment-RRT,1332,7816,21686,225,12226
COSIARCTTEC,5617,34060,74530,607,49902
COSIARCTTEC-RRT,4908,32376,70989,555,45544
COSIARCTTECBB,5692,34013,77050,568,48750
COSIARCTTECBB-RRT,4893,32611,69527,604,45697
COSIARCTTECSegment,5562,34379,74402,663,48668
COSIARCTTECSegment-RRT,4909,32789,68860,543,45573
COSIARTEC,11618,70938,219045,816,174738
COSIARTEC-RRT,9397,85988,190225,834,114933
COSIARTECBB,11614,70815,219296,798,174864
COSIARTECBB-RRT,9478,88301,198744,798,120816
COSIARTECSegment,11798,70886,220246,756,175450
COSIARTECSegment-RRT,9566,87624,194650,834,119189
COSIATEC,13699,81283,314403,772,201785
COSIATEC-RRT,12821,81107,338376,787,214195
COSIATECBB,14868,80056,348422,770,224421
COSIATECBB-RRT,12482,80785,352843,805,214061
COSIATECSegment,13503,81761,300315,646,218068
COSIATECSegment-RRT,12524,81209,335052,782,205331
Forth,6921,37643,167178,931,84014
Forth-RRT,6017,34496,160098,629,84316
ForthBB,6100,33340,158791,463,83795
ForthBB-RRT,6140,34361,158872,593,83987
ForthCT,408,2525,5218,72,3215
ForthCT-RRT,413,2562,5282,84,3128
ForthCTBB,411,2497,5152,73,3130
ForthCTBB-RRT,410,2485,5319,79,3118
ForthCTSegment,405,2525,5186,61,3061
ForthCTSegment-RRT,423,2525,5313,84,3201
ForthR,4813,31324,58451,406,41469
ForthR-RRT,4956,32081,64255,446,42063
ForthRBB,4856,30863,62790,458,40663
ForthRBB-RRT,4910,31847,61389,453,41615
ForthRCT,1832,9019,14895,211,11498
ForthRCT-RRT,1842,8999,14823,194,11534
ForthRCTBB,1836,8966,14829,191,11486
ForthRCTBB-RRT,1850,9127,14861,199,11586
ForthRCTSegment,1835,9106,14696,281,11463
ForthRCTSegment-RRT,1814,8959,14914,182,11396
ForthRSegment,4846,31450,57934,420,40955
ForthRSegment-RRT,4906,32119,61384,446,42061
ForthSegment,6108,35693,149146,532,84611
ForthSegment-RRT,6065,34220,157888,628,84722
ReCOSIACTTEC,1355,7507,20633,197,11870
ReCOSIACTTEC-RRT,1347,7869,21375,218,12071
ReCOSIACTTECBB,1440,7737,20759,204,11957
ReCOSIACTTECBB-RRT,1340,7888,21161,197,12144
ReCOSIACTTECSegment,1396,7501,20817,190,11922
ReCOSIACTTECSegment-RRT,1342,8155,21454,211,12116
ReCOSIARCTTEC,5081,31394,68730,514,45151
ReCOSIARCTTEC-RRT,4924,32776,69628,567,45389
ReCOSIARCTTECBB,5090,31168,69080,523,45175
ReCOSIARCTTECBB-RRT,4886,32342,69072,534,45182
ReCOSIARCTTECSegment,5191,31350,69227,518,44912
ReCOSIARCTTECSegment-RRT,4914,32372,70297,522,45589
ReCOSIARTEC,10753,63942,201705,664,156735
ReCOSIARTEC-RRT,9534,88760,197843,756,121005
ReCOSIARTECBB,10545,64040,201909,662,157973
ReCOSIARTECBB-RRT,9545,88879,199670,755,120518
ReCOSIARTECSegment,10511,63912,200431,677,157876
ReCOSIARTECSegment-RRT,9552,88630,199708,770,120601
ReCOSIATEC,15290,79007,334656,695,220424
ReCOSIATEC-RRT,12555,81128,336422,829,213875
ReCOSIATECBB,13608,70279,299155,666,231369
ReCOSIATECBB-RRT,12664,81328,336510,768,211125
ReCOSIATECSegment,13524,69862,320891,644,200523
ReCOSIATECSegment-RRT,12514,81424,338546,786,210501
ReForth,6074,34409,160072,574,86515
ReForth-RRT,6025,35603,163520,579,87532
ReForthBB,6040,34241,158190,535,86884
ReForthBB-RRT,6008,35748,160255,529,87534
ReForthCT,400,2576,5210,65,3143
ReForthCT-RRT,450,2514,5380,66,3119
