Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,,,,CT,,0.4415,0.2570,0.1019,0.2427,0.3957
COSIACTTEC-RRT,COSIATEC,,,RRT,CT,,0.1246,0.2655,0.1019,0.2427,0.3957
COSIACTTECBB,COSIATEC,BB,,,CT,,0.4108,0.3492,0.1491,0.2693,0.4283
COSIACTTECBB-RRT,COSIATEC,BB,,RRT,CT,,0.1279,0.3578,0.1491,0.2693,0.4283
COSIACTTECSegment,COSIATEC,Segment,,,CT,,0.3477,0.3630,0.2259,0.2701,0.4446
COSIACTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,,0.1096,0.3737,0.2259,0.2701,0.4446
COSIARCTTEC,COSIATEC,,,,CT,R,0.4415,0.2570,0.1019,0.2427,0.3957
COSIARCTTEC-RRT,COSIATEC,,,RRT,CT,R,0.1246,0.2655,0.1019,0.2427,0.3957
COSIARCTTECBB,COSIATEC,BB,,,CT,R,0.4108,0.3492,0.1491,0.2693,0.4283
COSIARCTTECBB-RRT,COSIATEC,BB,,RRT,CT,R,0.1279,0.3578,0.1491,0.2693,0.4283
COSIARCTTECSegment,COSIATEC,Segment,,,CT,R,0.3477,0.3630,0.2259,0.2701,0.4446
COSIARCTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,R,0.1096,0.3737,0.2259,0.2701,0.4446
COSIARTEC,COSIATEC,,,,,R,0.3310,0.1165,0.0986,0.1063,0.2398
COSIARTEC-RRT,COSIATEC,,,RRT,,R,0.1246,0.1083,0.1059,0.1063,0.3786
COSIARTECBB,COSIATEC,BB,,,,R,0.3062,0.2529,0.2553,0.3466,0.3466
COSIARTECBB-RRT,COSIATEC,BB,,RRT,,R,0.1292,0.3531,0.2538,0.3466,0.5194
COSIARTECSegment,COSIATEC,Segment,,,,R,0.2592,0.2991,0.4877,0.6126,0.4376
COSIARTECSegment-RRT,COSIATEC,Segment,,RRT,,R,0.1112,0.5617,0.5508,0.6126,0.6662
COSIATEC,COSIATEC,,,,,,0.3310,0.1344,0.1097,0.1460,0.3195
COSIATEC-RRT,COSIATEC,,,RRT,,,0.1246,0.0841,0.0938,0.1460,0.3195
COSIATECBB,COSIATEC,BB,,,,,0.3062,0.2673,0.2490,0.2818,0.4688
COSIATECBB-RRT,COSIATEC,BB,,RRT,,,0.1292,0.3514,0.1879,0.2818,0.4688
COSIATECSegment,COSIATEC,Segment,,,,,0.2592,0.3085,0.3737,0.5812,0.5502
COSIATECSegment-RRT,COSIATEC,Segment,,RRT,,,0.1112,0.5218,0.4677,0.5812,0.5502
Forth,Forth,,,,,,0.1965,0.2662,0.1412,0.2513,0.3719
Forth-RRT,Forth,,,RRT,,,0.1417,0.2651,0.1315,0.2513,0.3719
ForthBB,Forth,BB,,,,,0.1959,0.2593,0.1842,0.2034,0.3842
ForthBB-RRT,Forth,BB,,RRT,,,0.1711,0.2571,0.1642,0.2034,0.3842
ForthCT,Forth,,,,CT,,0.2296,0.4663,0.4467,0.2628,0.5738
ForthCT-RRT,Forth,,,RRT,CT,,0.3940,0.4745,0.4469,0.2628,0.5738
ForthCTBB,Forth,BB,,,CT,,0.2269,0.4669,0.4898,0.2502,0.5738
ForthCTBB-RRT,Forth,BB,,RRT,CT,,0.3794,0.4750,0.4900,0.2502,0.5738
ForthCTSegment,Forth,Segment,,,CT,,0.2152,0.4871,0.5090,0.2506,0.5738
ForthCTSegment-RRT,Forth,Segment,,RRT,CT,,0.2979,0.4977,0.5093,0.2506,0.5738
ForthR,Forth,,,,,R,0.2709,0.2530,0.1277,0.2778,0.3719
ForthR-RRT,Forth,,,RRT,,R,0.2888,0.0607,0.1271,0.2778,0.3719
ForthRBB,Forth,BB,,,,R,0.2533,0.2814,0.1589,0.2233,0.3842
ForthRBB-RRT,Forth,BB,,RRT,,R,0.2712,0.0844,0.1552,0.2233,0.3842
ForthRCT,Forth,,,,CT,R,0.2296,0.4663,0.4467,0.2628,0.5738
ForthRCT-RRT,Forth,,,RRT,CT,R,0.3940,0.4745,0.4469,0.2628,0.5738
ForthRCTBB,Forth,BB,,,CT,R,0.2269,0.4669,0.4898,0.2502,0.5738
ForthRCTBB-RRT,Forth,BB,,RRT,CT,R,0.3794,0.4750,0.4900,0.2502,0.5738
ForthRCTSegment,Forth,Segment,,,CT,R,0.2152,0.4871,0.5090,0.2506,0.5738
ForthRCTSegment-RRT,Forth,Segment,,RRT,CT,R,0.2979,0.4977,0.5093,0.2506,0.5738
ForthRSegment,Forth,Segment,,,,R,0.1926,0.3175,0.2559,0.2291,0.4480
ForthRSegment-RRT,Forth,Segment,,RRT,,R,0.2093,0.1316,0.2588,0.2291,0.4480
ForthSegment,Forth,Segment,,,,,0.1878,0.2854,0.3386,0.1974,0.4480
ForthSegment-RRT,Forth,Segment,,RRT,,,0.1816,0.2830,0.2736,0.1974,0.4480
ReCOSIACTTEC,COSIATEC,,RecurSIA,,CT,,0.4415,0.2570,0.1019,0.2427,0.3957
ReCOSIACTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,,0.1246,0.2655,0.1019,0.2427,0.3957
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,,CT,,0.4108,0.3492,0.1491,0.2693,0.4283
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,,0.1279,0.3578,0.1491,0.2693,0.4283
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,,CT,,0.3477,0.3630,0.2259,0.2701,0.4446
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,,0.1096,0.3737,0.2259,0.2701,0.4446
ReCOSIARCTTEC,COSIATEC,,RecurSIA,,CT,R,0.4415,0.2570,0.1019,0.2427,0.3957
ReCOSIARCTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,R,0.1246,0.2655,0.1019,0.2427,0.3957
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,,CT,R,0.4108,0.3492,0.1491,0.2693,0.4283
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.1279,0.3578,0.1491,0.2693,0.4283
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,,CT,R,0.3477,0.3630,0.2259,0.2701,0.4446
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.1096,0.3737,0.2259,0.2701,0.4446
ReCOSIARTEC,COSIATEC,,RecurSIA,,,R,0.3310,0.1165,0.0986,0.1063,0.2398
ReCOSIARTEC-RRT,COSIATEC,,RecurSIA,RRT,,R,0.1246,0.1083,0.1059,0.1063,0.3786
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,,,R,0.3062,0.2529,0.2553,0.3466,0.3466
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,R,0.1292,0.3531,0.2538,0.3466,0.5194
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,,R,0.2592,0.2991,0.4877,0.6126,0.4376
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,R,0.1112,0.5617,0.5508,0.6126,0.6662
ReCOSIATEC,COSIATEC,,RecurSIA,,,,0.3310,0.1344,0.1097,0.1460,0.3195
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,,,0.1246,0.0841,0.0938,0.1460,0.3195
ReCOSIATECBB,COSIATEC,BB,RecurSIA,,,,0.3062,0.2673,0.2490,0.2818,0.4688
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,,,0.1292,0.3514,0.1879,0.2818,0.4688
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,,,0.2592,0.3085,0.3737,0.5812,0.5502
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,,,0.1112,0.5218,0.4677,0.5812,0.5502
ReForth,Forth,,RecurSIA,,,,0.1965,0.2662,0.1412,0.2513,0.3719
ReForth-RRT,Forth,,RecurSIA,RRT,,,0.1417,0.2651,0.1315,0.2513,0.3719
ReForthBB,Forth,BB,RecurSIA,,,,0.1959,0.2593,0.1842,0.2034,0.3842
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,,,0.1711,0.2571,0.1642,0.2034,0.3842
ReForthCT,Forth,,RecurSIA,,CT,,0.2296,0.4663,0.4467,0.2628,0.5738
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,,0.3940,0.4745,0.4469,0.2628,0.5738
ReForthCTBB,Forth,BB,RecurSIA,,CT,,0.2269,0.4669,0.4898,0.2502,0.5738
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,,0.3794,0.4750,0.4900,0.2502,0.5738
ReForthCTSegment,Forth,Segment,RecurSIA,,CT,,0.2152,0.4871,0.5090,0.2506,0.5738
