Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,,Bach,,Beethoven,,Chopin,,Gibbons,,Mozart
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,A,Z,0.5,0.1486,0.5,0.0827,0.5,0.0403,0.5,0.1355,0.5,0.1355
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,1.5,0.1789,1.5,0.1114,1.5,0.0517,1.5,0.1855,1.5,0.1871
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,A,R,2.5,0.1446,2.5,0.0816,2.5,0.0391,2.5,0.0991,2.5,0.1098
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,3.5,0.1789,3.5,0.1114,3.5,0.0517,3.5,0.1855,3.5,0.1825
ReForth-RRT,Forth,Z,RecurSIA,RRT,A,Z,4.5,0.1455,4.5,0.2051,4.5,0.1216,4.5,0.2536,4.5,0.2087
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,5.5,0.3621,5.5,0.33,5.5,0.202,5.5,0.2994,5.5,0.3807
ReForthR-RRT,Forth,Z,RecurSIA,RRT,A,R,6.5,0.2693,6.5,0.2129,6.5,0.1324,6.5,0.2385,6.5,0.2385
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,7.5,0.3621,7.5,0.33,7.5,0.202,7.5,0.2994,7.5,0.3807
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,A,Z,8.5,0.1776,8.5,0.1069,8.5,0.0537,8.5,0.1456,8.5,0.1335
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,9.5,0.1754,9.5,0.1545,9.5,0.0881,9.5,0.1849,9.5,0.198
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,A,R,10.5,0.1622,10.5,0.1083,10.5,0.0515,10.5,0.1802,10.5,0.1155
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,11.5,0.1754,11.5,0.1545,11.5,0.0881,11.5,0.1849,11.5,0.198
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,A,Z,12.5,0.1474,12.5,0.491,12.5,0.3307,12.5,0.3646,12.5,0.4147
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,13.5,0.1292,13.5,0.3268,13.5,0.2524,13.5,0.3342,13.5,0.3175
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,A,R,14.5,0.1388,14.5,0.5107,14.5,0.3482,14.5,0.3637,14.5,0.3942
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,15.5,0.1292,15.5,0.3268,15.5,0.2524,15.5,0.3342,15.5,0.3098
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,A,Z,16.5,0.2354,16.5,0.3961,16.5,0.3341,16.5,0.2342,16.5,0.396
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,17.5,0.2778,17.5,0.4749,17.5,0.3387,17.5,0.3106,17.5,0.4761
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,A,R,18.5,0.2322,18.5,0.4464,18.5,0.3314,18.5,0.2243,18.5,0.3914
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,19.5,0.2778,19.5,0.4749,19.5,0.3387,19.5,0.3106,19.5,0.4761
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,A,Z,20.5,0.2251,20.5,0.4883,20.5,0.3738,20.5,0.3555,20.5,0.4268
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,21.5,0.1424,21.5,0.2991,21.5,0.2123,21.5,0.2807,21.5,0.3144
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,A,R,22.5,0.1999,22.5,0.4986,22.5,0.4153,22.5,0.3579,22.5,0.4548
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,23.5,0.1424,23.5,0.2991,23.5,0.2123,23.5,0.2807,23.5,0.3144
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,A,Z,24.5,0.1684,24.5,0.2588,24.5,0.1248,24.5,0.2495,24.5,0.2668
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,25.5,0.1728,25.5,0.1786,25.5,0.0963,25.5,0.217,25.5,0.23
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,A,R,26.5,0.159,26.5,0.2998,26.5,0.1496,26.5,0.2472,26.5,0.2125
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,27.5,0.1728,27.5,0.1786,27.5,0.0963,27.5,0.217,27.5,0.2251
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,A,Z,28.5,0.1661,28.5,0.3656,28.5,0.2493,28.5,0.236,28.5,0.3332
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,29.5,0.3614,29.5,0.4665,29.5,0.3161,29.5,0.307,29.5,0.4599
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,A,R,30.5,0.2569,30.5,0.3957,30.5,0.2768,30.5,0.2184,30.5,0.3413
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,31.5,0.3614,31.5,0.4665,31.5,0.3161,31.5,0.307,31.5,0.4599
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,A,Z,32.5,0.209,32.5,0.3189,32.5,0.1942,32.5,0.27,32.5,0.3094
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,33.5,0.1741,33.5,0.273,33.5,0.1684,33.5,0.2895,33.5,0.2697
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,A,R,34.5,0.1916,34.5,0.3397,34.5,0.2363,34.5,0.336,34.5,0.3086
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,35.5,0.1741,35.5,0.273,35.5,0.1684,35.5,0.2895,35.5,0.2697
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,A,Z,0.5,0.1805,0.5,0.1015,0.5,0.0522,0.5,0.1355,0.5,0.1439
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,1.5,0.1517,1.5,0.111,1.5,0.0517,1.5,0.1855,1.5,0.1746
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,A,R,2.5,0.1243,2.5,0.0889,2.5,0.035,2.5,0.0991,2.5,0.1212
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,3.5,0.1517,3.5,0.111,3.5,0.0517,3.5,0.1855,3.5,0.1708
ReForth,Forth,Z,RecurSIA,Z,A,Z,4.5,0.1612,4.5,0.218,4.5,0.1268,4.5,0.2536,4.5,0.2142
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,5.5,0.3155,5.5,0.3991,5.5,0.202,5.5,0.2994,5.5,0.386
ReForthR,Forth,Z,RecurSIA,Z,A,R,6.5,0.2522,6.5,0.2272,6.5,0.1262,6.5,0.2385,6.5,0.2418
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,7.5,0.3155,7.5,0.3991,7.5,0.202,7.5,0.2994,7.5,0.386
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,A,Z,8.5,0.169,8.5,0.0994,8.5,0.0552,8.5,0.1456,8.5,0.1449
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,9.5,0.1859,9.5,0.1514,9.5,0.0881,9.5,0.1921,9.5,0.199
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,A,R,10.5,0.1187,10.5,0.1043,10.5,0.0509,10.5,0.1802,10.5,0.112
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,11.5,0.1859,11.5,0.1514,11.5,0.0881,11.5,0.1921,11.5,0.199
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,A,Z,12.5,0.1736,12.5,0.5093,12.5,0.2998,12.5,0.3646,12.5,0.4116
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,13.5,0.1213,13.5,0.3275,13.5,0.2524,13.5,0.3342,13.5,0.3001
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,A,R,14.5,0.1186,14.5,0.4303,14.5,0.3559,14.5,0.3637,14.5,0.3654
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,15.5,0.1213,15.5,0.3275,15.5,0.2524,15.5,0.3342,15.5,0.2931
ReForthSegment,Forth,Segment,RecurSIA,Z,A,Z,16.5,0.1792,16.5,0.425,16.5,0.3523,16.5,0.2342,16.5,0.4068
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,17.5,0.2536,17.5,0.5353,17.5,0.3384,17.5,0.3106,17.5,0.4796
ReForthRSegment,Forth,Segment,RecurSIA,Z,A,R,18.5,0.2175,18.5,0.5378,18.5,0.3293,18.5,0.2243,18.5,0.4213
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,19.5,0.2536,19.5,0.5353,19.5,0.3384,19.5,0.3106,19.5,0.4796
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,A,Z,20.5,0.2489,20.5,0.5051,20.5,0.3671,20.5,0.3555,20.5,0.437
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,21.5,0.1517,21.5,0.2854,21.5,0.2122,21.5,0.2765,21.5,0.3129
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,A,R,22.5,0.161,22.5,0.4669,22.5,0.4057,22.5,0.3579,22.5,0.4361
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,23.5,0.1517,23.5,0.2854,23.5,0.2122,23.5,0.2765,23.5,0.3129
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,A,Z,24.5,0.1905,24.5,0.3503,24.5,0.1394,24.5,0.2495,24.5,0.2595
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,25.5,0.147,25.5,0.1681,25.5,0.0963,25.5,0.217,25.5,0.2147
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,A,R,26.5,0.1253,26.5,0.2526,26.5,0.1603,26.5,0.2472,26.5,0.2322
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,27.5,0.147,27.5,0.1681,27.5,0.0963,27.5,0.217,27.5,0.2108
ReForthBB,Forth,BB,RecurSIA,Z,A,Z,28.5,0.1629,28.5,0.3792,28.5,0.2525,28.5,0.236,28.5,0.3398
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,29.5,0.3118,29.5,0.513,29.5,0.316,29.5,0.307,29.5,0.4659
ReForthRBB,Forth,BB,RecurSIA,Z,A,R,30.5,0.2407,30.5,0.4887,30.5,0.2718,30.5,0.2184,30.5,0.3703
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,31.5,0.3118,31.5,0.513,31.5,0.316,31.5,0.307,31.5,0.4659
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,A,Z,32.5,0.2214,32.5,0.3253,32.5,0.1852,32.5,0.27,32.5,0.3318
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,33.5,0.1838,33.5,0.2583,33.5,0.1684,33.5,0.2857,33.5,0.2704
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,A,R,34.5,0.1551,34.5,0.3104,34.5,0.2293,34.5,0.336,34.5,0.2893
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,35.5,0.1838,35.5,0.2583,35.5,0.1684,35.5,0.2857,35.5,0.2704
COSIATEC-RRT,COSIATEC,Z,Z,RRT,A,Z,0.5,0.1852,0.5,0.0981,0.5,0.0424,0.5,0.1391,0.5,0.2025
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,1.5,0.2342,1.5,0.1409,1.5,0.0573,1.5,0.1855,1.5,0.2749
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,A,R,2.5,0.1975,2.5,0.1033,2.5,0.0431,2.5,0.1155,2.5,0.1594
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,3.5,0.2342,3.5,0.1409,3.5,0.0573,3.5,0.1855,3.5,0.2607
Forth-RRT,Forth,Z,Z,RRT,A,Z,4.5,0.1455,4.5,0.2647,4.5,0.1208,4.5,0.3141,4.5,0.2288
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,5.5,0.3422,5.5,0.4128,5.5,0.2491,5.5,0.3323,5.5,0.5564
ForthR-RRT,Forth,Z,Z,RRT,A,R,6.5,0.3097,6.5,0.194,6.5,0.1262,6.5,0.2973,6.5,0.2738
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,7.5,0.3422,7.5,0.4128,7.5,0.2491,7.5,0.3323,7.5,0.5564
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,A,Z,8.5,0.2576,8.5,0.172,8.5,0.1009,8.5,0.1825,8.5,0.2262
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,9.5,0.2439,9.5,0.1966,9.5,0.1192,9.5,0.1855,9.5,0.3126
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,A,R,10.5,0.2478,10.5,0.1829,10.5,0.0964,10.5,0.1803,10.5,0.1778
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,11.5,0.2439,11.5,0.1966,11.5,0.1192,11.5,0.1855,11.5,0.3126
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,A,Z,12.5,0.1808,12.5,0.6135,12.5,0.3459,12.5,0.3846,12.5,0.5617
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,13.5,0.1668,13.5,0.4281,13.5,0.2627,13.5,0.3342,13.5,0.4501
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,A,R,14.5,0.185,14.5,0.6838,14.5,0.4123,14.5,0.382,14.5,0.5367
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,15.5,0.1668,15.5,0.4281,15.5,0.2627,15.5,0.3342,15.5,0.428
ForthSegment-RRT,Forth,Segment,Z,RRT,A,Z,16.5,0.2354,16.5,0.321,16.5,0.3269,16.5,0.2468,16.5,0.3352
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,17.5,0.2827,17.5,0.4477,17.5,0.3273,17.5,0.3149,17.5,0.5899
ForthRSegment-RRT,Forth,Segment,Z,RRT,A,R,18.5,0.2803,18.5,0.3133,18.5,0.2752,18.5,0.2427,18.5,0.3894
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,19.5,0.2827,19.5,0.4477,19.5,0.3273,19.5,0.3149,19.5,0.5899
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,A,Z,20.5,0.2893,20.5,0.6173,20.5,0.5502,20.5,0.3961,20.5,0.5473
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,21.5,0.2041,21.5,0.2632,21.5,0.2302,21.5,0.2248,21.5,0.3727
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,A,R,22.5,0.2554,22.5,0.6184,22.5,0.6137,22.5,0.3852,22.5,0.557
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,23.5,0.2041,23.5,0.2632,23.5,0.2302,23.5,0.2248,23.5,0.3727
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,A,Z,24.5,0.2118,24.5,0.3262,24.5,0.1476,24.5,0.2649,24.5,0.3707
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,25.5,0.2254,25.5,0.2235,25.5,0.1085,25.5,0.217,25.5,0.3273
