Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,,Bach,,Beethoven,,Chopin,,Gibbons,,Mozart
ReCOSIATEC-RRT,COSIATEC,,RecurSIA,RRT,No CT,No R,0.5,2.9715,0.5,4.1013,0.5,3.9299,0.5,2.3451,0.5,4.7912
ReCOSIACTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,No R,1.5,2.7276,1.5,4.2841,1.5,3.3253,1.5,2.0813,1.5,4.2956
ReCOSIARTEC-RRT,COSIATEC,,RecurSIA,RRT,No CT,R,2.5,2.9357,2.5,3.8546,2.5,3.2022,2.5,2.2653,2.5,4.2956
ReCOSIARCTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,R,3.5,2.7276,3.5,4.2841,3.5,3.3253,3.5,2.0813,3.5,4.3062
ReForth-RRT,Forth,,RecurSIA,RRT,No CT,No R,4.5,1.1585,4.5,0.9891,4.5,1.2271,4.5,1.1978,4.5,1.5475
ReForthCT-RRT,Forth,,RecurSIA,RRT,CT,No R,5.5,1.7873,5.5,3.126,5.5,1.932,5.5,1.7713,5.5,3.2537
ReForthR-RRT,Forth,,RecurSIA,RRT,No CT,R,6.5,2.1066,6.5,1.1276,6.5,1.244,6.5,1.1327,6.5,1.6284
ReForthRCT-RRT,Forth,,RecurSIA,RRT,CT,R,7.5,1.7873,7.5,3.126,7.5,1.932,7.5,1.7713,7.5,3.2537
ReSIATECCompress-RRT,SIATECCompress,,RecurSIA,RRT,No CT,No R,8.5,1.9864,8.5,2.2003,8.5,1.8012,8.5,1.5417,8.5,2.6505
ReSIACTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,No R,9.5,1.8184,9.5,2.8748,9.5,2.001,9.5,1.5346,9.5,2.8874
ReSIARTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,No CT,R,10.5,1.9704,10.5,2.1421,10.5,1.8643,10.5,1.5136,10.5,1.8339
ReSIARCTTECCompress-RRT,SIATECCompress,,RecurSIA,RRT,CT,R,11.5,1.8184,11.5,2.8748,11.5,2.001,11.5,1.5346,11.5,2.8874
ReCOSIATEC,COSIATEC,,RecurSIA,,No CT,No R,0.5,2.7175,0.5,4.1793,0.5,4.0448,0.5,2.3451,0.5,4.6882
ReCOSIACTTEC,COSIATEC,,RecurSIA,,CT,No R,1.5,2.6875,1.5,4.2369,1.5,3.32,1.5,2.0813,1.5,4.2126
ReCOSIARTEC,COSIATEC,,RecurSIA,,No CT,R,2.5,2.7074,2.5,4.1344,2.5,3.0924,2.5,2.2653,2.5,4.0939
ReCOSIARCTTEC,COSIATEC,,RecurSIA,,CT,R,3.5,2.6875,3.5,4.2369,3.5,3.32,3.5,2.0813,3.5,4.2228
ReForth,Forth,,RecurSIA,,No CT,No R,4.5,1.2327,4.5,0.8427,4.5,1.1382,4.5,1.1978,4.5,1.6376
ReForthCT,Forth,,RecurSIA,,CT,No R,5.5,1.6281,5.5,2.3882,5.5,1.9195,5.5,1.7713,5.5,3.1767
ReForthR,Forth,,RecurSIA,,No CT,R,6.5,2.0826,6.5,1.3906,6.5,1.1898,6.5,1.1327,6.5,1.6089
ReForthRCT,Forth,,RecurSIA,,CT,R,7.5,1.6281,7.5,2.3882,7.5,1.9195,7.5,1.7713,7.5,3.1767
ReSIATECCompress,SIATECCompress,,RecurSIA,,No CT,No R,8.5,1.9136,8.5,2.029,8.5,1.8527,8.5,1.5417,8.5,2.6464
ReSIACTTECCompress,SIATECCompress,,RecurSIA,,CT,No R,9.5,1.7322,9.5,2.7125,9.5,1.999,9.5,1.5275,9.5,2.8312
ReSIARTECCompress,SIATECCompress,,RecurSIA,,No CT,R,10.5,1.8367,10.5,2.0317,10.5,1.7857,10.5,1.5136,10.5,1.7616
ReSIARCTTECCompress,SIATECCompress,,RecurSIA,,CT,R,11.5,1.7322,11.5,2.7125,11.5,1.999,11.5,1.5275,11.5,2.8312
COSIATEC-RRT,COSIATEC,,,RRT,No CT,No R,0.5,2.8115,0.5,3.8259,0.5,3.7054,0.5,2.3125,0.5,4.2641
COSIACTTEC-RRT,COSIATEC,,,RRT,CT,No R,1.5,2.639,1.5,4.0262,1.5,3.278,1.5,2.0813,1.5,3.9636
COSIARTEC-RRT,COSIATEC,,,RRT,No CT,R,2.5,2.7795,2.5,3.5356,2.5,3.0832,2.5,2.22,2.5,3.7996
COSIARCTTEC-RRT,COSIATEC,,,RRT,CT,R,3.5,2.639,3.5,4.0262,3.5,3.278,3.5,2.0813,3.5,3.9727
Forth-RRT,Forth,,,RRT,No CT,No R,4.5,1.1585,4.5,0.9355,4.5,1.1186,4.5,1.0954,4.5,1.3457
ForthCT-RRT,Forth,,,RRT,CT,No R,5.5,1.7488,5.5,2.3919,5.5,1.7422,5.5,1.5782,5.5,2.5349
ForthR-RRT,Forth,,,RRT,No CT,R,6.5,1.8413,6.5,1.0427,6.5,1.1566,6.5,1.0882,6.5,1.3488
ForthRCT-RRT,Forth,,,RRT,CT,R,7.5,1.7488,7.5,2.3919,7.5,1.7422,7.5,1.5782,7.5,2.5349
SIATECCompress-RRT,SIATECCompress,,,RRT,No CT,No R,8.5,1.8601,8.5,1.9035,8.5,1.6123,8.5,1.4735,8.5,2.2359
SIACTTECCompress-RRT,SIATECCompress,,,RRT,CT,No R,9.5,1.6766,9.5,2.4413,9.5,1.9019,9.5,1.4605,9.5,2.3793
SIARTECCompress-RRT,SIATECCompress,,,RRT,No CT,R,10.5,1.8005,10.5,1.7946,10.5,1.6693,10.5,1.4416,10.5,1.5956
SIARCTTECCompress-RRT,SIATECCompress,,,RRT,CT,R,11.5,1.6766,11.5,2.4413,11.5,1.9019,11.5,1.4605,11.5,2.3793
COSIATEC,COSIATEC,,,,No CT,No R,0.5,2.6875,0.5,3.8741,0.5,3.7796,0.5,2.3125,0.5,4.2228
COSIACTTEC,COSIATEC,,,,CT,No R,1.5,2.6107,1.5,4.0157,1.5,3.2729,1.5,2.0813,1.5,3.9636
COSIARTEC,COSIATEC,,,,No CT,R,2.5,2.6777,2.5,3.845,2.5,2.9685,2.5,2.22,2.5,3.7265
COSIARCTTEC,COSIATEC,,,,CT,R,3.5,2.6107,3.5,4.0157,3.5,3.2729,3.5,2.0813,3.5,3.9727
Forth,Forth,,,,No CT,No R,4.5,1.2327,4.5,0.804,4.5,1.0603,4.5,1.0954,4.5,1.3732
ForthCT,Forth,,,,CT,No R,5.5,1.5961,5.5,1.8073,5.5,1.7321,5.5,1.5782,5.5,2.5239
ForthR,Forth,,,,No CT,R,6.5,1.8367,6.5,1.2669,6.5,1.1174,6.5,1.0882,6.5,1.3488
ForthRCT,Forth,,,,CT,R,7.5,1.5961,7.5,1.8073,7.5,1.7321,7.5,1.5782,7.5,2.5239
SIATECCompress,SIATECCompress,,,,No CT,No R,8.5,1.8139,8.5,1.8009,8.5,1.6627,8.5,1.4735,8.5,2.2445
SIACTTECCompress,SIATECCompress,,,,CT,No R,9.5,1.6208,9.5,2.3409,9.5,1.9002,9.5,1.4605,9.5,2.3793
SIARTECCompress,SIATECCompress,,,,No CT,R,10.5,1.7488,10.5,1.7597,10.5,1.6326,10.5,1.4416,10.5,1.5502
SIARCTTECCompress,SIATECCompress,,,,CT,R,11.5,1.6208,11.5,2.3409,11.5,1.9002,11.5,1.4605,11.5,2.3793
,,,,,,,,2.9715,11.5,4.2841,11.5,4.0448,11.5,2.3451,11.5,4.7912
