Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,,,,CT,,0.1605,0.1041,0.0306,0.1314,0.2101
COSIACTTEC-RRT,COSIATEC,,,RRT,CT,,0.1560,0.1078,0.0306,0.1314,0.2094
COSIACTTECBB,COSIATEC,BB,,,CT,,0.1543,0.1645,0.0643,0.1593,0.2599
COSIACTTECBB-RRT,COSIATEC,BB,,RRT,CT,,0.1525,0.1792,0.0643,0.1593,0.2585
COSIACTTECSegment,COSIATEC,Segment,,,CT,,0.1294,0.3210,0.1658,0.2550,0.3690
COSIACTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,,0.1105,0.3347,0.1658,0.2550,0.3683
COSIARCTTEC,COSIATEC,,,,CT,R,0.1605,0.1041,0.0306,0.1314,0.1940
COSIARCTTEC-RRT,COSIATEC,,,RRT,CT,R,0.1560,0.1078,0.0306,0.1314,0.1934
COSIARCTTECBB,COSIATEC,BB,,,CT,R,0.1543,0.1645,0.0643,0.1593,0.2413
COSIARCTTECBB-RRT,COSIATEC,BB,,RRT,CT,R,0.1525,0.1792,0.0643,0.1593,0.2399
COSIARCTTECSegment,COSIATEC,Segment,,,CT,R,0.1294,0.3210,0.1658,0.2550,0.3398
COSIARCTTECSegment-RRT,COSIATEC,Segment,,RRT,CT,R,0.1105,0.3347,0.1658,0.2550,0.3398
COSIARTEC,COSIATEC,,,,,R,0.1098,0.0883,0.0197,0.0959,0.1173
COSIARTEC-RRT,COSIATEC,,,RRT,,R,0.1246,0.0766,0.0218,0.0959,0.1072
COSIARTECBB,COSIATEC,BB,,,,R,0.1127,0.2564,0.1182,0.2491,0.2556
COSIARTECBB-RRT,COSIATEC,BB,,RRT,,R,0.1406,0.3219,0.1119,0.2491,0.2125
COSIARTECSegment,COSIATEC,Segment,,,,R,0.1082,0.4823,0.2817,0.4682,0.4154
COSIARTECSegment-RRT,COSIATEC,Segment,,RRT,,R,0.1268,0.6251,0.2789,0.4682,0.4427
COSIATEC,COSIATEC,,,,,,0.1104,0.0988,0.0313,0.1064,0.1477
COSIATEC-RRT,COSIATEC,,,RRT,,,0.1150,0.0708,0.0228,0.1064,0.1390
COSIATECBB,COSIATEC,BB,,,,,0.1222,0.3393,0.0928,0.2231,0.2724
COSIATECBB-RRT,COSIATEC,BB,,RRT,,,0.1350,0.2447,0.0903,0.2231,0.2794
COSIATECSegment,COSIATEC,Segment,,,,,0.1149,0.5477,0.1969,0.4367,0.4611
COSIATECSegment-RRT,COSIATEC,Segment,,RRT,,,0.1229,0.5147,0.2404,0.4367,0.4749
Forth,Forth,,,,,,0.1287,0.2346,0.0690,0.3141,0.1730
Forth-RRT,Forth,,,RRT,,,0.1276,0.1956,0.0694,0.3141,0.1660
ForthBB,Forth,BB,,,,,0.1312,0.2805,0.1292,0.2542,0.2161
ForthBB-RRT,Forth,BB,,RRT,,,0.1530,0.2240,0.1340,0.2542,0.2071
ForthCT,Forth,,,,CT,,0.2423,0.4436,0.1525,0.3285,0.4731
ForthCT-RRT,Forth,,,RRT,CT,,0.2569,0.3314,0.1526,0.3285,0.4745
ForthCTBB,Forth,BB,,,CT,,0.2368,0.4670,0.1992,0.3128,0.5086
ForthCTBB-RRT,Forth,BB,,RRT,CT,,0.2533,0.3608,0.1993,0.3128,0.5107
ForthCTSegment,Forth,Segment,,,CT,,0.1986,0.4784,0.2217,0.3133,0.5178
ForthCTSegment-RRT,Forth,Segment,,RRT,CT,,0.2079,0.3764,0.2221,0.3133,0.5237
ForthR,Forth,,,,,R,0.2254,0.1512,0.0711,0.2778,0.2174
ForthR-RRT,Forth,,,RRT,,R,0.2574,0.1338,0.0708,0.2778,0.2174
ForthRBB,Forth,BB,,,,R,0.2169,0.2390,0.1272,0.2233,0.2775
ForthRBB-RRT,Forth,BB,,RRT,,R,0.2480,0.1884,0.1234,0.2233,0.2775
ForthRCT,Forth,,,,CT,R,0.2423,0.4436,0.1525,0.3285,0.4731
ForthRCT-RRT,Forth,,,RRT,CT,R,0.2569,0.3314,0.1526,0.3285,0.4745
ForthRCTBB,Forth,BB,,,CT,R,0.2368,0.4670,0.1992,0.3128,0.5086
ForthRCTBB-RRT,Forth,BB,,RRT,CT,R,0.2533,0.3608,0.1993,0.3128,0.5107
ForthRCTSegment,Forth,Segment,,,CT,R,0.1986,0.4784,0.2217,0.3133,0.5178
ForthRCTSegment-RRT,Forth,Segment,,RRT,CT,R,0.2079,0.3764,0.2221,0.3133,0.5237
ForthRSegment,Forth,Segment,,,,R,0.1989,0.2932,0.2288,0.2291,0.3447
ForthRSegment-RRT,Forth,Segment,,RRT,,R,0.2271,0.2361,0.2169,0.2291,0.3447
ForthSegment,Forth,Segment,,,,,0.1308,0.3102,0.2707,0.2467,0.2756
ForthSegment-RRT,Forth,Segment,,RRT,,,0.1976,0.2617,0.2676,0.2467,0.2638
ReCOSIACTTEC,COSIATEC,,RecurSIA,,CT,,0.0836,0.0776,0.0272,0.1314,0.1117
ReCOSIACTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,,0.1105,0.0767,0.0272,0.1314,0.1221
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,,CT,,0.0814,0.1234,0.0558,0.1593,0.1414
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,,0.1080,0.1276,0.0558,0.1593,0.1549
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,,CT,,0.0701,0.2267,0.1569,0.2550,0.2026
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,,0.0798,0.2254,0.1569,0.2550,0.2188
ReCOSIARCTTEC,COSIATEC,,RecurSIA,,CT,R,0.0836,0.0776,0.0272,0.1314,0.1086
ReCOSIARCTTEC-RRT,COSIATEC,,RecurSIA,RRT,CT,R,0.1105,0.0767,0.0272,0.1314,0.1182
