Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,,Bach,,Beethoven,,Chopin,,Gibbons,,Mozart,,
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,0.5,0.1486,0.5,0.0827,0.5,0.038,0.5,0.1355,0.5,0.1355,0.5,0.10806
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,1.5,0.1789,1.5,0.1114,1.5,0.0482,1.5,0.1855,1.5,0.1871,1.5,0.14222
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,2.5,0.1446,2.5,0.0816,2.5,0.0342,2.5,0.0991,2.5,0.1098,2.5,0.09386
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,3.5,0.1789,3.5,0.1114,3.5,0.0482,3.5,0.1855,3.5,0.1825,3.5,0.1413
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,4.5,0.1455,4.5,0.2051,4.5,0.1129,4.5,0.2536,4.5,0.2087,4.5,0.18516
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,5.5,0.3621,5.5,0.33,5.5,0.189,5.5,0.2994,5.5,0.3807,5.5,0.31224
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,6.5,0.2693,6.5,0.2129,6.5,0.1218,6.5,0.2385,6.5,0.2385,6.5,0.2162
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,7.5,0.3621,7.5,0.33,7.5,0.189,7.5,0.2994,7.5,0.3807,7.5,0.31224
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,8.5,0.1776,8.5,0.1069,8.5,0.0485,8.5,0.1456,8.5,0.1335,8.5,0.12242
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,9.5,0.1754,9.5,0.1545,9.5,0.0768,9.5,0.1849,9.5,0.198,9.5,0.15792
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,10.5,0.1622,10.5,0.1083,10.5,0.0442,10.5,0.1802,10.5,0.1155,10.5,0.12208
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,11.5,0.1754,11.5,0.1545,11.5,0.0768,11.5,0.1849,11.5,0.198,11.5,0.15792
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,12.5,0.1474,12.5,0.491,12.5,0.337,12.5,0.3646,12.5,0.4147,12.5,0.35094
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,13.5,0.1292,13.5,0.3268,13.5,0.2568,13.5,0.3342,13.5,0.3175,13.5,0.2729
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,14.5,0.1388,14.5,0.5107,14.5,0.3481,14.5,0.3637,14.5,0.3942,14.5,0.3511
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,15.5,0.1292,15.5,0.3268,15.5,0.2568,15.5,0.3342,15.5,0.3098,15.5,0.27136
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,16.5,0.2354,16.5,0.3961,16.5,0.3414,16.5,0.2342,16.5,0.396,16.5,0.32062
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,17.5,0.2778,17.5,0.4749,17.5,0.3395,17.5,0.3106,17.5,0.4761,17.5,0.37578
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,18.5,0.2322,18.5,0.4464,18.5,0.3412,18.5,0.2243,18.5,0.3914,18.5,0.3271
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,19.5,0.2778,19.5,0.4749,19.5,0.3395,19.5,0.3106,19.5,0.4761,19.5,0.37578
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,20.5,0.2251,20.5,0.4883,20.5,0.3753,20.5,0.3555,20.5,0.4268,20.5,0.3742
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,21.5,0.1424,21.5,0.2991,21.5,0.2112,21.5,0.2807,21.5,0.3144,21.5,0.24956
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,22.5,0.1999,22.5,0.4986,22.5,0.4175,22.5,0.3579,22.5,0.4548,22.5,0.38574
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,23.5,0.1424,23.5,0.2991,23.5,0.2112,23.5,0.2807,23.5,0.3144,23.5,0.24956
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,24.5,0.1684,24.5,0.2588,24.5,0.1241,24.5,0.2495,24.5,0.2668,24.5,0.21352
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,25.5,0.1728,25.5,0.1786,25.5,0.0955,25.5,0.217,25.5,0.23,25.5,0.17878
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,26.5,0.159,26.5,0.2998,26.5,0.1472,26.5,0.2472,26.5,0.2125,26.5,0.21314
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,27.5,0.1728,27.5,0.1786,27.5,0.0955,27.5,0.217,27.5,0.2251,27.5,0.1778
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,28.5,0.1661,28.5,0.3656,28.5,0.2578,28.5,0.236,28.5,0.3332,28.5,0.27174
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,29.5,0.3614,29.5,0.4665,29.5,0.3169,29.5,0.307,29.5,0.4599,29.5,0.38234
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,30.5,0.2569,30.5,0.3957,30.5,0.2861,30.5,0.2184,30.5,0.3413,30.5,0.29968
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,31.5,0.3614,31.5,0.4665,31.5,0.3169,31.5,0.307,31.5,0.4599,31.5,0.38234
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,32.5,0.209,32.5,0.3189,32.5,0.1932,32.5,0.27,32.5,0.3094,32.5,0.2601
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,33.5,0.1741,33.5,0.273,33.5,0.1657,33.5,0.2895,33.5,0.2697,33.5,0.2344
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,34.5,0.1916,34.5,0.3397,34.5,0.2346,34.5,0.336,34.5,0.3086,34.5,0.2821
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,35.5,0.1741,35.5,0.273,35.5,0.1657,35.5,0.2895,35.5,0.2697,35.5,0.2344
ReCOSIATEC,COSIATEC,Z,RecurSIA,,Z,Z,0.5,0.1805,0.5,0.1015,0.5,0.0494,0.5,0.1355,0.5,0.1439,0.5,0.12216
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,,CT,Z,1.5,0.1517,1.5,0.111,1.5,0.0482,1.5,0.1855,1.5,0.1746,1.5,0.1342
ReCOSIARTEC,COSIATEC,Z,RecurSIA,,Z,R,2.5,0.1243,2.5,0.0889,2.5,0.031,2.5,0.0991,2.5,0.1212,2.5,0.0929
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,,CT,R,3.5,0.1517,3.5,0.111,3.5,0.0482,3.5,0.1855,3.5,0.1708,3.5,0.13344
ReForth,Forth,Z,RecurSIA,,Z,Z,4.5,0.1612,4.5,0.218,4.5,0.1173,4.5,0.2536,4.5,0.2142,4.5,0.19286
ReForthCT,Forth,Z,RecurSIA,,CT,Z,5.5,0.3155,5.5,0.3991,5.5,0.189,5.5,0.2994,5.5,0.386,5.5,0.3178
ReForthR,Forth,Z,RecurSIA,,Z,R,6.5,0.2522,6.5,0.2272,6.5,0.1159,6.5,0.2385,6.5,0.2418,6.5,0.21512
ReForthRCT,Forth,Z,RecurSIA,,CT,R,7.5,0.3155,7.5,0.3991,7.5,0.189,7.5,0.2994,7.5,0.386,7.5,0.3178
ReSIATECCompress,SIATECCompress,Z,RecurSIA,,Z,Z,8.5,0.169,8.5,0.0994,8.5,0.0502,8.5,0.1456,8.5,0.1449,8.5,0.12182
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,,CT,Z,9.5,0.1859,9.5,0.1514,9.5,0.0768,9.5,0.1921,9.5,0.199,9.5,0.16104
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,,Z,R,10.5,0.1187,10.5,0.1043,10.5,0.0435,10.5,0.1802,10.5,0.112,10.5,0.11174
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,,CT,R,11.5,0.1859,11.5,0.1514,11.5,0.0768,11.5,0.1921,11.5,0.199,11.5,0.16104
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,,Z,Z,12.5,0.1736,12.5,0.5093,12.5,0.3058,12.5,0.3646,12.5,0.4116,12.5,0.35298
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,,CT,Z,13.5,0.1213,13.5,0.3275,13.5,0.2568,13.5,0.3342,13.5,0.3001,13.5,0.26798
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,,Z,R,14.5,0.1186,14.5,0.4303,14.5,0.3557,14.5,0.3637,14.5,0.3654,14.5,0.32674
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,,CT,R,15.5,0.1213,15.5,0.3275,15.5,0.2568,15.5,0.3342,15.5,0.2931,15.5,0.26658
ReForthSegment,Forth,Segment,RecurSIA,,Z,Z,16.5,0.1792,16.5,0.425,16.5,0.3607,16.5,0.2342,16.5,0.4068,16.5,0.32118
