algorithm,file,nP,nQ,P3,R3,TLF1,cf,runtime,FFP
COSIACTTEC,bach_wtc2f20_COSIACTTEC,3,21,0.1605,0.8180,0.2684,2.6107,1505,0.4415
COSIACTTEC,beet_sonata01-3_COSIACTTEC,7,21,0.1041,0.1948,0.1357,4.0157,8426,0.2570
COSIACTTEC,chop_mazurka24-4_COSIACTTEC,3,42,0.0306,0.2098,0.0535,3.2729,23024,0.1001
COSIACTTEC,gbns_silverswan_COSIACTTEC,4,14,0.1314,0.3152,0.1855,2.0813,219,0.2427
COSIACTTEC,mzrt_sonata04-2_COSIACTTEC,9,20,0.2101,0.4002,0.2755,3.9636,12925,0.3957
COSIACTTEC-RRT,bach_wtc2f20_COSIACTTEC-RRT,3,17,0.1560,0.4694,0.2342,2.6390,1367,0.1246
COSIACTTEC-RRT,beet_sonata01-3_COSIACTTEC-RRT,7,20,0.1078,0.2034,0.1409,4.0262,8015,0.2655
COSIACTTEC-RRT,chop_mazurka24-4_COSIACTTEC-RRT,3,42,0.0306,0.2098,0.0535,3.2780,21223,0.1001
COSIACTTEC-RRT,gbns_silverswan_COSIACTTEC-RRT,4,14,0.1314,0.3152,0.1855,2.0813,224,0.2427
COSIACTTEC-RRT,mzrt_sonata04-2_COSIACTTEC-RRT,9,20,0.2094,0.4002,0.2749,3.9636,12252,0.3957
COSIACTTECBB,bach_wtc2f20_COSIACTTECBB,3,21,0.1543,0.7537,0.2562,2.6107,1614,0.4108
COSIACTTECBB,beet_sonata01-3_COSIACTTECBB,7,21,0.1645,0.2634,0.2025,4.0157,8671,0.3492
COSIACTTECBB,chop_mazurka24-4_COSIACTTECBB,3,42,0.0643,0.3293,0.1076,3.2729,23423,0.1491
COSIACTTECBB,gbns_silverswan_COSIACTTECBB,4,14,0.1593,0.3400,0.2170,2.0813,265,0.2693
COSIACTTECBB,mzrt_sonata04-2_COSIACTTECBB,9,20,0.2599,0.4460,0.3284,3.9636,13243,0.4283
COSIACTTECBB-RRT,bach_wtc2f20_COSIACTTECBB-RRT,3,17,0.1525,0.4316,0.2254,2.6390,1379,0.1279
COSIACTTECBB-RRT,beet_sonata01-3_COSIACTTECBB-RRT,7,20,0.1792,0.2970,0.2235,4.0262,7859,0.3578
COSIACTTECBB-RRT,chop_mazurka24-4_COSIACTTECBB-RRT,3,42,0.0643,0.3293,0.1076,3.2780,22589,0.1491
COSIACTTECBB-RRT,gbns_silverswan_COSIACTTECBB-RRT,4,14,0.1593,0.3400,0.2170,2.0813,212,0.2693
COSIACTTECBB-RRT,mzrt_sonata04-2_COSIACTTECBB-RRT,9,20,0.2585,0.4460,0.3273,3.9636,12154,0.4283
COSIACTTECSegment,bach_wtc2f20_COSIACTTECSegment,3,21,0.1294,0.4516,0.2012,2.6107,1581,0.3477
COSIACTTECSegment,beet_sonata01-3_COSIACTTECSegment,7,21,0.3210,0.5896,0.4157,4.0157,8655,0.3630
COSIACTTECSegment,chop_mazurka24-4_COSIACTTECSegment,3,42,0.1658,0.6906,0.2674,3.2729,22916,0.2259
COSIACTTECSegment,gbns_silverswan_COSIACTTECSegment,4,14,0.2550,0.4846,0.3342,2.0813,232,0.2701
COSIACTTECSegment,mzrt_sonata04-2_COSIACTTECSegment,9,20,0.3690,0.5779,0.4504,3.9636,13285,0.4446
COSIACTTECSegment-RRT,bach_wtc2f20_COSIACTTECSegment-RRT,3,17,0.1105,0.3402,0.1668,2.6390,1332,0.1096
