Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,0.4415,0.2570,0.1001,0.2427,0.3957
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,0.1246,0.2655,0.1001,0.2427,0.3957
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,0.4108,0.3492,0.1491,0.2693,0.4283
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,0.1279,0.3578,0.1491,0.2693,0.4283
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,0.3477,0.3630,0.2259,0.2701,0.4446
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,0.1096,0.3737,0.2259,0.2701,0.4446
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,0.4415,0.2570,0.1001,0.2427,0.3957
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,0.1246,0.2655,0.1001,0.2427,0.3957
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,0.4108,0.3492,0.1491,0.2693,0.4283
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,0.1279,0.3578,0.1491,0.2693,0.4283
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,0.3477,0.3630,0.2259,0.2701,0.4446
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,0.1096,0.3737,0.2259,0.2701,0.4446
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,0.3310,0.1165,0.0865,0.1063,0.2398
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,0.1246,0.1083,0.0937,0.1063,0.3786
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,0.3062,0.2529,0.2553,0.3466,0.3466
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,0.1292,0.3531,0.2538,0.3466,0.5194
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,0.2592,0.2991,0.4877,0.6126,0.4376
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,0.1112,0.5617,0.5508,0.6126,0.6662
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,0.3310,0.1344,0.1073,0.1460,0.3195
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,0.1246,0.0841,0.0910,0.1460,0.3195
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,0.3062,0.2673,0.2490,0.2818,0.4688
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,0.1292,0.3514,0.1879,0.2818,0.4688
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,0.2592,0.3085,0.3737,0.5812,0.5502
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,0.1112,0.5218,0.4677,0.5812,0.5502
Forth,Forth,Z,Z,Z,Z,Z,0.1965,0.2662,0.1344,0.2513,0.3719
Forth-RRT,Forth,Z,Z,RRT,Z,Z,0.1417,0.2651,0.1301,0.2513,0.3719
ForthBB,Forth,BB,Z,Z,Z,Z,0.1959,0.2593,0.1842,0.2034,0.3842
ForthBB-RRT,Forth,BB,Z,RRT,Z,Z,0.1711,0.2571,0.1642,0.2034,0.3842
ForthCT,Forth,Z,Z,Z,CT,Z,0.2296,0.4663,0.4135,0.2628,0.5738
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,0.3940,0.4745,0.4136,0.2628,0.5738
ForthCTBB,Forth,BB,Z,Z,CT,Z,0.2269,0.4669,0.4889,0.2502,0.5738
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,0.3794,0.4750,0.4891,0.2502,0.5738
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,0.2152,0.4871,0.5082,0.2506,0.5738
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,0.2979,0.4977,0.5085,0.2506,0.5738
ForthR,Forth,Z,Z,Z,Z,R,0.2709,0.2530,0.1256,0.2778,0.3719
ForthR-RRT,Forth,Z,Z,RRT,Z,R,0.2888,0.0607,0.1250,0.2778,0.3719
ForthRBB,Forth,BB,Z,Z,Z,R,0.2533,0.2814,0.1589,0.2233,0.3842
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,0.2712,0.0844,0.1552,0.2233,0.3842
ForthRCT,Forth,Z,Z,Z,CT,R,0.2296,0.4663,0.4135,0.2628,0.5738
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,0.3940,0.4745,0.4136,0.2628,0.5738
ForthRCTBB,Forth,BB,Z,Z,CT,R,0.2269,0.4669,0.4889,0.2502,0.5738
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,0.3794,0.4750,0.4891,0.2502,0.5738
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,0.2152,0.4871,0.5082,0.2506,0.5738
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,0.2979,0.4977,0.5085,0.2506,0.5738
ForthRSegment,Forth,Segment,Z,Z,Z,R,0.1926,0.3175,0.2559,0.2291,0.4480
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,0.2093,0.1316,0.2588,0.2291,0.4480
ForthSegment,Forth,Segment,Z,Z,Z,Z,0.1878,0.2854,0.3386,0.1974,0.4480
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,0.1816,0.2830,0.2736,0.1974,0.4480
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,0.2048,0.1786,0.0906,0.2427,0.2275
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,0.0185,0.1908,0.0906,0.2427,0.2275
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,0.2083,0.2033,0.1322,0.2693,0.2377
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,0.0217,0.2251,0.1322,0.2693,0.2377
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,0.1834,0.2263,0.2090,0.2701,0.2482
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,0.0282,0.2606,0.2090,0.2701,0.2482
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,0.2048,0.1786,0.0906,0.2427,0.2275
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,0.0185,0.1908,0.0906,0.2427,0.2275
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,0.2083,0.2033,0.1322,0.2693,0.2377
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.0217,0.2251,0.1322,0.2693,0.2377
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,0.1834,0.2263,0.2090,0.2701,0.2482
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.0282,0.2606,0.2090,0.2701,0.2482
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,0.1422,0.0633,0.0901,0.0467,0.1517
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,0.0984,0.0486,0.0890,0.0467,0.1674
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,0.1422,0.0799,0.2389,0.1080,0.1680
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,0.1029,0.1313,0.2333,0.1080,0.1814
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,0.1346,0.0979,0.4146,0.1843,0.2932
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,0.1000,0.2717,0.4811,0.1843,0.3687
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,0.3176,0.0727,0.0825,0.1266,0.1681
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,0.0984,0.0486,0.0863,0.1266,0.1691
