Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in P3,Bach,% change in P3,Beethoven,% change in P3,Chopin,% change in P3,Gibbons,% change in P3,Mozart,Average % change in P3,,,Average % change over all cases,
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,-30.00648088,0.108,-22.43161094,0.1276,-13.2192846,0.0558,0,0.1593,-37.62950684,0.1505,-20.65737665,,,RecurSIARRT,-20.2758647
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,-47.24562541,0.0814,-24.98480243,0.1234,-13.2192846,0.0558,0,0.1593,-42.80978036,0.138,-25.65189856,,,RecurSIA,-21.20578077
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,-1.166558652,0.1525,8.936170213,0.1792,0,0.0643,0,0.1593,-0.580190634,0.2399,1.437884185,,,RRT,-0.693175243
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,,0.1543,,0.1645,,0.0643,,0.1593,,0.2413,,,,,
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,-15.88287489,0.0948,-20.47581903,0.2039,-26.9035533,0.0864,-21.83861903,0.1947,-47.37871674,0.1345,-26.4959166,,,,
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,-38.24312334,0.0696,-33.61934477,0.1702,-22.25042301,0.0919,-21.83861903,0.1947,-40.02347418,0.1533,-31.19499687,,,,
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,24.75598935,0.1406,25.54602184,0.3219,-5.329949239,0.1119,0,0.2491,-16.86228482,0.2125,5.621955427,,,,
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,,0.1127,,0.2564,,0.1182,,0.2491,,0.2556,,,,,
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,-30.00648088,0.108,-22.43161094,0.1276,-13.2192846,0.0558,0,0.1593,-40.40015391,0.1549,-21.21150607,,,,
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,-47.24562541,0.0814,-24.98480243,0.1234,-13.2192846,0.0558,0,0.1593,-45.59445941,0.1414,-26.20883437,,,,
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,-1.166558652,0.1525,8.936170213,0.1792,0,0.0643,0,0.1593,-0.538668719,0.2585,1.446188568,,,,
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,,0.1543,,0.1645,,0.0643,,0.1593,,0.2599,,,,,
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,-16.85761047,0.1016,-48.12849985,0.176,-20.68965517,0.0736,-9.412819364,0.2021,-35.60939794,0.1754,-26.13959656,,,,
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,-4.41898527,0.1168,-30.41556145,0.2361,-14.11637931,0.0797,-9.412819364,0.2021,-37.66519824,0.1698,-19.20578873,,,,
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,10.47463175,0.135,-27.88093133,0.2447,-2.693965517,0.0903,0,0.2231,2.569750367,0.2794,-3.506102946,,,,
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,,0.1222,,0.3393,,0.0928,,0.2231,,0.2724,,,,,
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,9.206081081,0.2586,-27.17344754,0.3401,1.355421687,0.2019,-6.425831202,0.2927,-33.73967755,0.337,-11.3554907,,,,
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,-5.996621622,0.2226,-21.04925054,0.3687,1.305220884,0.2018,-6.425831202,0.2927,-32.46165946,0.3435,-12.92562839,,,,
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,6.967905405,0.2533,-22.74089936,0.3608,0.050200803,0.1993,0,0.3128,0.412898152,0.5107,-3.061978999,,,,
ForthRCTBB,Forth,BB,Z,Z,CT,R,,0.2368,,0.467,,0.1992,,0.3128,,0.5086,,,,,
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,-12.95527893,0.1888,17.57322176,0.281,61.32075472,0.2052,-13.92745186,0.1922,-8.036036036,0.2552,8.79504193,,,,
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,-20.79299216,0.1718,46.23430962,0.3495,57.0754717,0.1998,-13.92745186,0.1922,1.945945946,0.2829,14.10705665,,,,
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,14.33840479,0.248,-21.17154812,0.1884,-2.987421384,0.1234,0,0.2233,0,0.2775,-1.964112941,,,,
ForthRBB,Forth,BB,Z,Z,Z,R,,0.2169,,0.239,,0.1272,,0.2233,,0.2775,,,,,
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,9.206081081,0.2586,-27.17344754,0.3401,1.355421687,0.2019,-6.425831202,0.2927,-33.73967755,0.337,-11.3554907,,,,
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,-5.996621622,0.2226,-21.04925054,0.3687,1.305220884,0.2018,-6.425831202,0.2927,-32.46165946,0.3435,-12.92562839,,,,
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,6.967905405,0.2533,-22.74089936,0.3608,0.050200803,0.1993,0,0.3128,0.412898152,0.5107,-3.061978999,,,,
ForthCTBB,Forth,BB,Z,Z,CT,Z,,0.2368,,0.467,,0.1992,,0.3128,,0.5086,,,,,
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,16.61585366,0.153,-9.982174688,0.2525,36.76470588,0.1767,-13.65066876,0.2195,11.10596946,0.2401,8.170737109,,,,
