Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart,,Average
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,0.0881,0.0553,0.0214,0.1022,0.0828,0.5,0.06996
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,0.1105,0.0767,0.0272,0.1314,0.1221,1.5,0.09358
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,0.0852,0.0543,0.0193,0.0752,0.0667,2.5,0.06014
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,0.1105,0.0767,0.0272,0.1314,0.1182,3.5,0.0928
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,0.1276,0.1348,0.0679,0.2121,0.1412,4.5,0.13672
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,0.2581,0.2305,0.1174,0.2698,0.2655,5.5,0.22826
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,0.1955,0.1447,0.0755,0.1898,0.1674,6.5,0.15458
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,0.2581,0.2305,0.1174,0.2698,0.2655,7.5,0.22826
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,0.1074,0.0694,0.0275,0.0998,0.0825,8.5,0.07732
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,0.0999,0.0987,0.047,0.1414,0.1224,9.5,0.10188
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,0.0983,0.0702,0.0255,0.1317,0.0719,10.5,0.07952
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,0.0999,0.0987,0.047,0.1414,0.1224,11.5,0.10188
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,0.094,0.3628,0.2241,0.3883,0.2954,12.5,0.27292
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,0.0798,0.2254,0.1569,0.255,0.2188,13.5,0.18718
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,0.0871,0.3859,0.2231,0.3677,0.2773,14.5,0.26822
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.0798,0.2254,0.1569,0.255,0.2116,15.5,0.18574
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,0.1976,0.2811,0.2479,0.2206,0.2966,16.5,0.24876
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,0.2026,0.3494,0.219,0.2969,0.3515,17.5,0.28388
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,0.17,0.326,0.2558,0.1984,0.301,18.5,0.25024
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.2026,0.3494,0.219,0.2969,0.3515,19.5,0.28388
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,0.1526,0.3611,0.2399,0.3427,0.3169,20.5,0.28264
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,0.0851,0.1851,0.1231,0.2094,0.2025,21.5,0.16104
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,0.1373,0.3625,0.2752,0.3153,0.3518,22.5,0.28842
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.0851,0.1851,0.1231,0.2094,0.2025,23.5,0.16104
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,0.1016,0.176,0.0736,0.2021,0.1754,24.5,0.14574
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,0.108,0.1276,0.0558,0.1593,0.1549,25.5,0.12112
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,0.0948,0.2039,0.0864,0.1947,0.1345,26.5,0.14286
