Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in R3,Bach,% change in R3,Beethoven,% change in R3,Chopin,% change in R3,Gibbons,% change in R3,Mozart,Average % change in R3,,Average change over all cases,
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,-42.73583654,0.4316,12.75626424,0.297,0,0.3293,0,0.34,0,0.446,-5.995914461,,RecurSIARRT,7.182131391
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,0,0.7537,0,0.2634,0,0.3293,0,0.34,0,0.446,0,,RecurSIA,10.29255108
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,-42.73583654,0.4316,12.75626424,0.297,0,0.3293,0,0.34,0,0.446,-5.995914461,,RRT,-3.731950787
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,,0.7537,,0.2634,,0.3293,,0.34,,0.446,,,,
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,-21.65605096,0.492,15.69268492,0.5662,-9.870932558,0.4958,0,0.3386,5.92174095,0.5062,-1.982511529,,,
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,0,0.628,0,0.4894,0,0.5501,0,0.3386,0.104624398,0.4784,0.02092488,,,
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,-21.65605096,0.492,15.69268492,0.5662,-9.870932558,0.4958,0,0.3386,5.92174095,0.5062,-1.982511529,,,
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,,0.628,,0.4894,,0.5501,,0.3386,,0.4779,,,,
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,-42.73583654,0.4316,12.75626424,0.297,0,0.3293,0,0.34,0,0.446,-5.995914461,,,
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,0,0.7537,0,0.2634,0,0.3293,0,0.34,0,0.446,0,,,
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,-42.73583654,0.4316,12.75626424,0.297,0,0.3293,0,0.34,0,0.446,-5.995914461,,,
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,,0.7537,,0.2634,,0.3293,,0.34,,0.446,,,,
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,-4.614191547,0.492,-27.92513999,0.4891,-31.04108635,0.3961,0,0.326,1.235016346,0.5574,-12.46908031,,,
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,0,0.5158,0,0.6786,0,0.5744,0,0.326,0.07264802,0.551,0.014529604,,,
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,-4.614191547,0.492,-27.92513999,0.4891,-31.04108635,0.3961,0,0.326,0,0.5506,-12.71608358,,,
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,,0.5158,,0.6786,,0.5744,,0.326,,0.5506,,,,
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,15.44230769,0.6003,3.717160425,0.7422,29.30216207,0.7356,1.001251564,0.3228,7.356867398,0.7238,11.36394983,,,
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,0,0.52,17.81721632,0.8431,29.30216207,0.7356,1.001251564,0.3228,7.356867398,0.7238,11.09549947,,,
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,0,0.52,-23.56064841,0.547,0,0.5689,0,0.3196,0,0.6742,-4.712129681,,,
ForthRCTBB,Forth,BB,Z,Z,CT,R,,0.52,,0.7156,,0.5689,,0.3196,,0.6742,,,,
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,11.8596882,0.4018,56.51766908,0.6688,34.65374751,0.4725,1.240992794,0.2529,25.70800781,0.5149,25.99602108,,,
