Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart,,
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,0.4762,0.1633,0.1682,0.2009,0.3725,0.5,0.27622
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,0.4694,0.2034,0.2098,0.3152,0.4002,1.5,0.3196
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,0.4762,0.1636,0.1485,0.1452,0.3109,2.5,0.24888
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,0.4694,0.2034,0.2098,0.3152,0.4002,3.5,0.3196
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,0.1692,0.4287,0.3338,0.3154,0.4001,4.5,0.32944
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,0.6066,0.5804,0.4843,0.3362,0.6725,5.5,0.536
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,0.4323,0.4028,0.3155,0.3209,0.4148,6.5,0.37726
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,0.6066,0.5804,0.4843,0.3362,0.6725,7.5,0.536
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,0.5126,0.2323,0.2062,0.2691,0.3502,8.5,0.31408
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,0.7199,0.3554,0.2098,0.2668,0.5178,9.5,0.41394
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,0.4629,0.2366,0.1681,0.2853,0.2932,10.5,0.28922
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,0.7199,0.3554,0.2098,0.2668,0.5178,11.5,0.41394
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,0.3417,0.7594,0.6793,0.3437,0.6953,12.5,0.56388
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,0.3402,0.5936,0.7066,0.4846,0.5786,13.5,0.54072
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,0.3417,0.7548,0.7925,0.3598,0.6815,14.5,0.58606
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.3402,0.5936,0.7066,0.4846,0.578,15.5,0.5406
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,0.2909,0.67,0.5478,0.2496,0.5957,16.5,0.4708
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,0.4418,0.7411,0.7543,0.3258,0.7374,17.5,0.60008
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,0.3661,0.708,0.5119,0.2581,0.5594,18.5,0.4807
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,0.4418,0.7411,0.7543,0.3258,0.7374,19.5,0.60008
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,0.4289,0.7541,0.8614,0.3693,0.6534,20.5,0.61342
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,0.436,0.779,0.7414,0.4259,0.7028,21.5,0.61702
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,0.3674,0.7982,0.8641,0.4139,0.643,22.5,0.61732
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,0.436,0.779,0.7414,0.4259,0.7028,23.5,0.61702
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,0.492,0.4891,0.3961,0.326,0.5574,24.5,0.45212
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,0.4316,0.297,0.3293,0.34,0.446,25.5,0.36878
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,0.492,0.5662,0.4958,0.3386,0.5062,26.5,0.47976
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.4316,0.297,0.3293,0.34,0.446,27.5,0.36878
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,0.1816,0.6627,0.4767,0.2552,0.5444,28.5,0.42412
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,0.6003,0.7422,0.7356,0.3228,0.7238,29.5,0.62494
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,0.4018,0.6688,0.4725,0.2529,0.5149,30.5,0.46218
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,0.6003,0.7422,0.7356,0.3228,0.7238,31.5,0.62494
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,0.4763,0.5852,0.5842,0.3586,0.5685,32.5,0.51456
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,0.6984,0.7694,0.56,0.4591,0.6588,33.5,0.62914
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,0.4615,0.6029,0.6896,0.4799,0.5494,34.5,0.55666
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,0.6984,0.7694,0.56,0.4591,0.6588,35.5,0.62914
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,0.5766,0.1978,0.2635,0.2009,0.3725,0.5,0.32226
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,0.818,0.1948,0.2098,0.3152,0.4002,1.5,0.3876
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,0.6877,0.196,0.149,0.1452,0.329,2.5,0.30138
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,0.818,0.1948,0.2098,0.3152,0.4002,3.5,0.3876
ReForth,Forth,Z,RecurSIA,Z,Z,Z,0.2157,0.4938,0.3354,0.3154,0.3996,4.5,0.35198
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,0.5468,0.7314,0.4843,0.3362,0.6725,5.5,0.55424
ReForthR,Forth,Z,RecurSIA,Z,Z,R,0.4323,0.4122,0.3101,0.3209,0.4159,6.5,0.37828
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,0.5468,0.7314,0.4843,0.3362,0.6725,7.5,0.55424
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,0.4266,0.242,0.2206,0.2691,0.3476,8.5,0.30118
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,0.7679,0.3566,0.2098,0.2817,0.5178,9.5,0.42676
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,0.4401,0.2369,0.166,0.2853,0.2991,10.5,0.28548
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,0.7679,0.3566,0.2098,0.2817,0.5178,11.5,0.42676
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,0.421,0.838,0.8001,0.3437,0.6925,12.5,0.61906
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,0.4516,0.5896,0.7066,0.4846,0.5779,13.5,0.56206
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,0.4471,0.6629,0.7946,0.3598,0.6258,14.5,0.57804
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,0.4516,0.5896,0.7066,0.4846,0.5757,15.5,0.56162
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,0.2844,0.6777,0.5695,0.2496,0.5924,16.5,0.47472
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,0.3867,0.8422,0.7543,0.3258,0.7374,17.5,0.60928
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,0.3661,0.8507,0.5146,0.2581,0.5865,18.5,0.5152
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,0.3867,0.8422,0.7543,0.3258,0.7374,19.5,0.60928
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,0.4289,0.7872,0.8821,0.3693,0.6454,20.5,0.62258
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,0.4741,0.779,0.7414,0.4109,0.7028,21.5,0.62164
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,0.3423,0.7375,0.8534,0.4139,0.654,22.5,0.60022
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,0.4741,0.779,0.7414,0.4109,0.7028,23.5,0.62164
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,0.5158,0.6786,0.5744,0.326,0.551,24.5,0.52916
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,0.7537,0.2634,0.3293,0.34,0.446,25.5,0.42648
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,0.628,0.4894,0.5501,0.3386,0.4784,26.5,0.4969
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,0.7537,0.2634,0.3293,0.34,0.446,27.5,0.42648
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,0.2148,0.6555,0.4689,0.2552,0.5444,28.5,0.42776
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,0.52,0.8431,0.7356,0.3228,0.7238,29.5,0.62906
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,0.4018,0.812,0.4725,0.2529,0.536,30.5,0.49504
