Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in TLF1,Bach,% change in TLF1,Beethoven,% change in TLF1,Chopin,% change in TLF1,Gibbons,% change in TLF1,Mozart,Average over pieces,,,Average over all cases
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,-32.5527,0.1728,-11.8025,0.1786,-11.2454,0.0955,0.0000,0.217,-28.1060,0.2251,-16.7413,,RecurSIARRT,-13.4994
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,-42.6230,0.147,-16.9877,0.1681,-11.2454,0.0955,0.0000,0.217,-32.6733,0.2108,-20.7058,,RecurSIA,-13.7829
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,-12.0219,0.2254,10.3704,0.2235,0.0000,0.1076,0.0000,0.217,-0.3513,0.312,-0.4006,,RRT,-1.5797
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,,0.2562,,0.2025,,0.1076,,0.217,,0.3131,,,,
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,-16.8410,0.159,-10.9064,0.2998,-24.3577,0.1472,-13.8676,0.2472,-36.1862,0.2125,-20.4318,,,
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,-34.4665,0.1253,-24.9331,0.2526,-19.1161,0.1574,-13.8676,0.2472,-30.2703,0.2322,-24.5307,,,
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,14.3828,0.2187,21.9911,0.4105,-6.1665,0.1826,0.0000,0.287,-10.0901,0.2994,4.0235,,,
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,,0.1912,,0.3365,,0.1946,,0.287,,0.333,,,,
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,-32.5527,0.1728,-11.8025,0.1786,-11.2454,0.0955,0.0000,0.217,-29.9635,0.23,-17.1128,,,
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,-42.6230,0.147,-16.9877,0.1681,-11.2454,0.0955,0.0000,0.217,-34.6224,0.2147,-21.0957,,,
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,-12.0219,0.2254,10.3704,0.2235,0.0000,0.1076,0.0000,0.217,-0.3350,0.3273,-0.3973,,,
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,,0.2562,,0.2025,,0.1076,,0.217,,0.3284,,,,
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,-14.7773,0.1684,-42.7940,0.2588,-22.3404,0.1241,-5.8135,0.2495,-26.8038,0.2668,-22.5058,,,
