Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,0.2684,0.1357,0.0535,0.1855,0.2755
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,0.2342,0.1409,0.0535,0.1855,0.2749
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,0.2562,0.2025,0.1076,0.2170,0.3284
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,0.2254,0.2235,0.1076,0.2170,0.3273
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,0.2012,0.4157,0.2674,0.3342,0.4504
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,0.1668,0.4281,0.2674,0.3342,0.4501
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,0.2684,0.1357,0.0535,0.1855,0.2613
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,0.2342,0.1409,0.0535,0.1855,0.2607
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,0.2562,0.2025,0.1076,0.2170,0.3131
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,0.2254,0.2235,0.1076,0.2170,0.3120
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,0.2012,0.4157,0.2674,0.3342,0.4273
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,0.1668,0.4281,0.2674,0.3342,0.4280
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,0.1893,0.1217,0.0348,0.1155,0.1730
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,0.1975,0.1033,0.0381,0.1155,0.1594
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,0.1912,0.3365,0.1946,0.2870,0.3330
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,0.2187,0.4105,0.1826,0.2870,0.2994
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,0.1743,0.5584,0.4159,0.3820,0.4994
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,0.1850,0.6838,0.4126,0.3820,0.5367
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,0.1853,0.1318,0.0560,0.1391,0.2116
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,0.1852,0.0981,0.0401,0.1391,0.2025
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,0.1976,0.4524,0.1598,0.2649,0.3645
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,0.2118,0.3262,0.1470,0.2649,0.3707
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,0.1806,0.6624,0.3148,0.3846,0.5536
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,0.1808,0.6135,0.3528,0.3846,0.5617
Forth,Forth,Z,Z,Z,Z,Z,0.1612,0.3163,0.1115,0.3141,0.2354
Forth-RRT,Forth,Z,Z,RRT,Z,Z,0.1455,0.2647,0.1120,0.3141,0.2288
ForthBB,Forth,BB,Z,Z,Z,Z,0.1629,0.3513,0.1882,0.2532,0.2831
ForthBB-RRT,Forth,BB,Z,RRT,Z,Z,0.1661,0.2894,0.1936,0.2532,0.2753
ForthCT,Forth,Z,Z,Z,CT,Z,0.3358,0.5493,0.2320,0.3323,0.5554
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,0.3422,0.4128,0.2321,0.3323,0.5564
ForthCTBB,Forth,BB,Z,Z,CT,Z,0.3254,0.5652,0.2950,0.3162,0.5798
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,0.3406,0.4348,0.2952,0.3162,0.5812
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,0.2625,0.5736,0.3218,0.3149,0.5862
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,0.2827,0.4477,0.3223,0.3149,0.5899
ForthR,Forth,Z,Z,Z,Z,R,0.2853,0.2120,0.1138,0.2973,0.2738
ForthR-RRT,Forth,Z,Z,RRT,Z,R,0.3097,0.1940,0.1137,0.2973,0.2738
ForthRBB,Forth,BB,Z,Z,Z,R,0.2704,0.3065,0.1867,0.2358,0.3309
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,0.2934,0.2618,0.1826,0.2358,0.3309
ForthRCT,Forth,Z,Z,Z,CT,R,0.3358,0.5493,0.2320,0.3323,0.5554
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,0.3422,0.4128,0.2321,0.3323,0.5564
ForthRCTBB,Forth,BB,Z,Z,CT,R,0.3254,0.5652,0.2950,0.3162,0.5798
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,0.3406,0.4348,0.2952,0.3162,0.5812
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,0.2625,0.5736,0.3218,0.3149,0.5862
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,0.2827,0.4477,0.3223,0.3149,0.5899
ForthRSegment,Forth,Segment,Z,Z,Z,R,0.2577,0.3597,0.2885,0.2427,0.3894
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,0.2803,0.3133,0.2781,0.2427,0.3894
ForthSegment,Forth,Segment,Z,Z,Z,Z,0.1792,0.3774,0.3374,0.2468,0.3446
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,0.2354,0.3210,0.3287,0.2468,0.3352
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,0.1517,0.1110,0.0482,0.1855,0.1746
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,0.1789,0.1114,0.0482,0.1855,0.1871
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,0.1470,0.1681,0.0955,0.2170,0.2147
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,0.1728,0.1786,0.0955,0.2170,0.2300
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,0.1213,0.3275,0.2568,0.3342,0.3001
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,0.1292,0.3268,0.2568,0.3342,0.3175
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,0.1517,0.1110,0.0482,0.1855,0.1708
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,0.1789,0.1114,0.0482,0.1855,0.1825
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,0.1470,0.1681,0.0955,0.2170,0.2108
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,0.1728,0.1786,0.0955,0.2170,0.2251
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,0.1213,0.3275,0.2568,0.3342,0.2931
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,0.1292,0.3268,0.2568,0.3342,0.3098
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,0.1243,0.0889,0.0310,0.0991,0.1212
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,0.1446,0.0816,0.0342,0.0991,0.1098
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,0.1253,0.2526,0.1574,0.2472,0.2322
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,0.1590,0.2998,0.1472,0.2472,0.2125
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,0.1186,0.4303,0.3557,0.3637,0.3654
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,0.1388,0.5107,0.3481,0.3637,0.3942
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,0.1805,0.1015,0.0494,0.1355,0.1439
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,0.1486,0.0827,0.0380,0.1355,0.1355
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,0.1905,0.3503,0.1399,0.2495,0.2595
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,0.1684,0.2588,0.1241,0.2495,0.2668
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,0.1736,0.5093,0.3058,0.3646,0.4116
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,0.1474,0.4910,0.3370,0.3646,0.4147
ReForth,Forth,Z,RecurSIA,Z,Z,Z,0.1612,0.2180,0.1173,0.2536,0.2142
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,0.1455,0.2051,0.1129,0.2536,0.2087
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,0.1629,0.3792,0.2614,0.2360,0.3398
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,0.1661,0.3656,0.2578,0.2360,0.3332
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,0.3155,0.3991,0.1890,0.2994,0.3860
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,0.3621,0.3300,0.1890,0.2994,0.3807
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,0.3118,0.5130,0.3167,0.3070,0.4659
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,0.3614,0.4665,0.3169,0.3070,0.4599
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,0.2536,0.5353,0.3392,0.3106,0.4796
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,0.2778,0.4749,0.3395,0.3106,0.4761
ReForthR,Forth,Z,RecurSIA,Z,Z,R,0.2522,0.2272,0.1159,0.2385,0.2418
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,0.2693,0.2129,0.1218,0.2385,0.2385
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,0.2407,0.4887,0.2808,0.2184,0.3703
