Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,,Bach,,Beethoven,,Chopin,,Gibbons,,Mozart
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,0.5,2.9715,12.5,4.1013,24.5,3.9299,36.5,2.3451,48.5,4.7912
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,1.5,2.7276,13.5,4.2841,25.5,3.3253,37.5,2.0813,49.5,4.2956
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,2.5,2.9357,14.5,3.8546,26.5,3.2022,38.5,2.2653,50.5,4.2956
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,3.5,2.7276,15.5,4.2841,27.5,3.3253,39.5,2.0813,51.5,4.3062
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,4.5,1.1585,16.5,0.9891,28.5,1.2271,40.5,1.1978,52.5,1.5475
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,5.5,1.7873,17.5,3.126,29.5,1.932,41.5,1.7713,53.5,3.2537
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,6.5,2.1066,18.5,1.1276,30.5,1.244,42.5,1.1327,54.5,1.6284
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,7.5,1.7873,19.5,3.126,31.5,1.932,43.5,1.7713,55.5,3.2537
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,8.5,1.9864,20.5,2.2003,32.5,1.8012,44.5,1.5417,56.5,2.6505
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,9.5,1.8184,21.5,2.8748,33.5,2.001,45.5,1.5346,57.5,2.8874
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,10.5,1.9704,22.5,2.1421,34.5,1.8643,46.5,1.5136,58.5,1.8339
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,11.5,1.8184,23.5,2.8748,35.5,2.001,47.5,1.5346,59.5,2.8874
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,0.5,2.7175,12.5,4.1793,24.5,4.0448,36.5,2.3451,48.5,4.6882
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,1.5,2.6875,13.5,4.2369,25.5,3.32,37.5,2.0813,49.5,4.2126
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,2.5,2.7074,14.5,4.1344,26.5,3.0924,38.5,2.2653,50.5,4.0939
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,3.5,2.6875,15.5,4.2369,27.5,3.32,39.5,2.0813,51.5,4.2228
ReForth,Forth,Z,RecurSIA,Z,Z,Z,4.5,1.2327,16.5,0.8427,28.5,1.1382,40.5,1.1978,52.5,1.6376
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,5.5,1.6281,17.5,2.3882,29.5,1.9195,41.5,1.7713,53.5,3.1767
ReForthR,Forth,Z,RecurSIA,Z,Z,R,6.5,2.0826,18.5,1.3906,30.5,1.1898,42.5,1.1327,54.5,1.6089
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,7.5,1.6281,19.5,2.3882,31.5,1.9195,43.5,1.7713,55.5,3.1767
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,8.5,1.9136,20.5,2.029,32.5,1.8527,44.5,1.5417,56.5,2.6464
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,9.5,1.7322,21.5,2.7125,33.5,1.999,45.5,1.5275,57.5,2.8312
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,10.5,1.8367,22.5,2.0317,34.5,1.7857,46.5,1.5136,58.5,1.7616
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,11.5,1.7322,23.5,2.7125,35.5,1.999,47.5,1.5275,59.5,2.8312
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,0.5,2.8115,12.5,3.8259,24.5,3.7054,36.5,2.3125,48.5,4.2641
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,1.5,2.639,13.5,4.0262,25.5,3.278,37.5,2.0813,49.5,3.9636
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,2.5,2.7795,14.5,3.5356,26.5,3.0832,38.5,2.22,50.5,3.7996
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,3.5,2.639,15.5,4.0262,27.5,3.278,39.5,2.0813,51.5,3.9727
Forth-RRT,Forth,Z,Z,RRT,Z,Z,4.5,1.1585,16.5,0.9355,28.5,1.1186,40.5,1.0954,52.5,1.3457
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,5.5,1.7488,17.5,2.3919,29.5,1.7422,41.5,1.5782,53.5,2.5349
ForthR-RRT,Forth,Z,Z,RRT,Z,R,6.5,1.8413,18.5,1.0427,30.5,1.1566,42.5,1.0882,54.5,1.3488
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,7.5,1.7488,19.5,2.3919,31.5,1.7422,43.5,1.5782,55.5,2.5349
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,8.5,1.8601,20.5,1.9035,32.5,1.6123,44.5,1.4735,56.5,2.2359
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,9.5,1.6766,21.5,2.4413,33.5,1.9019,45.5,1.4605,57.5,2.3793
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,10.5,1.8005,22.5,1.7946,34.5,1.6693,46.5,1.4416,58.5,1.5956
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,11.5,1.6766,23.5,2.4413,35.5,1.9019,47.5,1.4605,59.5,2.3793
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,0.5,2.6875,12.5,3.8741,24.5,3.7796,36.5,2.3125,48.5,4.2228
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,1.5,2.6107,13.5,4.0157,25.5,3.2729,37.5,2.0813,49.5,3.9636
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,2.5,2.6777,14.5,3.845,26.5,2.9685,38.5,2.22,50.5,3.7265
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,3.5,2.6107,15.5,4.0157,27.5,3.2729,39.5,2.0813,51.5,3.9727
Forth,Forth,Z,Z,Z,Z,Z,4.5,1.2327,16.5,0.804,28.5,1.0603,40.5,1.0954,52.5,1.3732
ForthCT,Forth,Z,Z,Z,CT,Z,5.5,1.5961,17.5,1.8073,29.5,1.7321,41.5,1.5782,53.5,2.5239
ForthR,Forth,Z,Z,Z,Z,R,6.5,1.8367,18.5,1.2669,30.5,1.1174,42.5,1.0882,54.5,1.3488
ForthRCT,Forth,Z,Z,Z,CT,R,7.5,1.5961,19.5,1.8073,31.5,1.7321,43.5,1.5782,55.5,2.5239
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,8.5,1.8139,20.5,1.8009,32.5,1.6627,44.5,1.4735,56.5,2.2445
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,9.5,1.6208,21.5,2.3409,33.5,1.9002,45.5,1.4605,57.5,2.3793
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,10.5,1.7488,22.5,1.7597,34.5,1.6326,46.5,1.4416,58.5,1.5502
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,11.5,1.6208,23.5,2.3409,35.5,1.9002,47.5,1.4605,59.5,2.3793
