Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,% change in CF,Bach,% change in CF,Beethoven,% change in CF,Chopin,% change in CF,Gibbons,% change in CF,Mozart,,,,Average,Average summing over all individually
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,4.4777,2.7276,6.6838,4.2841,1.6010,3.3253,0.0000,2.0813,8.3948,4.3062,4.2315,,RecurSIARRT,12.5105,12.5105
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,2.9417,2.6875,5.5084,4.2369,1.4391,3.32,0.0000,2.0813,6.2955,4.2228,3.2369,,RecurSIA,9.1513,
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,1.0840,2.639,0.2615,4.0262,0.1558,3.278,0.0000,2.0813,0.0000,3.9727,0.3003,,RRT,2.0553,
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,,2.6107,,4.0157,,3.2729,,2.0813,,3.9727,,,,,
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,9.6351,2.9357,0.2497,3.8546,7.8727,3.2022,2.0405,2.2653,15.2717,4.2956,7.0139,,,,
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,1.1092,2.7074,7.5267,4.1344,4.1738,3.0924,2.0405,2.2653,9.8591,4.0939,4.9419,,,,
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,3.8018,2.7795,-8.0468,3.5356,3.8639,3.0832,0.0000,2.22,1.9616,3.7996,0.3161,,,,
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,,2.6777,,3.845,,2.9685,,2.22,,3.7265,,,,,
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,4.4777,2.7276,6.6838,4.2841,1.6010,3.3253,0.0000,2.0813,8.3762,4.2956,4.2277,,,,
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,2.9417,2.6875,5.5084,4.2369,1.4391,3.32,0.0000,2.0813,6.2822,4.2126,3.2343,,,,
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,1.0840,2.639,0.2615,4.0262,0.1558,3.278,0.0000,2.0813,0.0000,3.9636,0.3003,,,,
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,,2.6107,,4.0157,,3.2729,,2.0813,,3.9636,,,,,
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,10.5674,2.9715,5.8646,4.1013,3.9766,3.9299,1.4097,2.3451,13.4603,4.7912,7.0557,,,,
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,1.1163,2.7175,7.8780,4.1793,7.0166,4.0448,1.4097,2.3451,11.0211,4.6882,5.6883,,,,
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,4.6140,2.8115,-1.2442,3.8259,-1.9632,3.7054,0.0000,2.3125,0.9780,4.2641,0.4769,,,,
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,,2.6875,,3.8741,,3.7796,,2.3125,,4.2228,,,,,
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,11.9792,1.7873,72.9652,3.126,11.5409,1.932,12.2355,1.7713,28.9156,3.2537,27.5273,,,,
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,2.0049,1.6281,32.1419,2.3882,10.8192,1.9195,12.2355,1.7713,25.8647,3.1767,16.6132,,,,
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,9.5671,1.7488,32.3466,2.3919,0.5831,1.7422,0.0000,1.5782,0.4358,2.5349,8.5865,,,,
ForthRCTBB,Forth,BB,Z,Z,CT,R,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239,,,,,
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,14.6948,2.1066,-10.9953,1.1276,11.3299,1.244,4.0893,1.1327,20.7295,1.6284,7.9696,,,,
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,13.3881,2.0826,9.7640,1.3906,6.4793,1.1898,4.0893,1.1327,19.2838,1.6089,10.6009,,,,
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,0.2504,1.8413,-17.6967,1.0427,3.5081,1.1566,0.0000,1.0882,0.0000,1.3488,-2.7876,,,,
ForthRBB,Forth,BB,Z,Z,Z,R,,1.8367,,1.2669,,1.1174,,1.0882,,1.3488,,,,,
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,11.9792,1.7873,72.9652,3.126,11.5409,1.932,12.2355,1.7713,28.9156,3.2537,27.5273,,,,
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,2.0049,1.6281,32.1419,2.3882,10.8192,1.9195,12.2355,1.7713,25.8647,3.1767,16.6132,,,,
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,9.5671,1.7488,32.3466,2.3919,0.5831,1.7422,0.0000,1.5782,0.4358,2.5349,8.5865,,,,
ForthCTBB,Forth,BB,Z,Z,CT,Z,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239,,,,,
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,-6.0193,1.1585,23.0224,0.9891,15.7314,1.2271,9.3482,1.1978,12.6930,1.5475,10.9551,,,,
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,0.0000,1.2327,4.8134,0.8427,7.3470,1.1382,9.3482,1.1978,19.2543,1.6376,8.1526,,,,
ForthBB-RRT,Forth,BB,Z,RRT,Z,Z,-6.0193,1.1585,16.3557,0.9355,5.4984,1.1186,0.0000,1.0954,-2.0026,1.3457,2.7664,,,,
ForthBB,Forth,BB,Z,Z,Z,Z,,1.2327,,0.804,,1.0603,,1.0954,,1.3732,,,,,
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,12.1915,1.8184,22.8075,2.8748,5.3047,2.001,5.0736,1.5346,21.3550,2.8874,13.3465,,,,
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,6.8731,1.7322,15.8742,2.7125,5.1995,1.999,4.5875,1.5275,18.9930,2.8312,10.3055,,,,
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,3.4427,1.6766,4.2889,2.4413,0.0895,1.9019,0.0000,1.4605,0.0000,2.3793,1.5642,,,,
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793,,,,,
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,12.6715,1.9704,21.7310,2.1421,14.1921,1.8643,4.9945,1.5136,18.3009,1.8339,14.3780,,,,
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,5.0263,1.8367,15.4572,2.0317,9.3777,1.7857,4.9945,1.5136,13.6370,1.7616,9.6985,,,,
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,2.9563,1.8005,1.9833,1.7946,2.2479,1.6693,0.0000,1.4416,2.9287,1.5956,2.0232,,,,
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,,1.7488,,1.7597,,1.6326,,1.4416,,1.5502,,,,,
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,12.1915,1.8184,22.8075,2.8748,5.3047,2.001,5.0736,1.5346,21.3550,2.8874,13.3465,,,,
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,6.8731,1.7322,15.8742,2.7125,5.1995,1.999,4.5875,1.5275,18.9930,2.8312,10.3055,,,,
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,3.4427,1.6766,4.2889,2.4413,0.0895,1.9019,0.0000,1.4605,0.0000,2.3793,1.5642,,,,
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,,1.6208,,2.3409,,1.9002,,1.4605,,2.3793,,,,,
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,9.5099,1.9864,22.1778,2.2003,8.3298,1.8012,4.6284,1.5417,18.0887,2.6505,12.5469,,,,
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,5.4964,1.9136,12.6659,2.029,11.4272,1.8527,4.6284,1.5417,17.9060,2.6464,10.4248,,,,
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,2.5470,1.8601,5.6972,1.9035,-3.0312,1.6123,0.0000,1.4735,-0.3832,2.2359,0.9660,,,,
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,,1.8139,,1.8009,,1.6627,,1.4735,,2.2445,,,,,
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,,2.7276,,4.2841,,3.3253,,2.0813,,4.3062,,,,,
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,,2.6875,,4.2369,,3.32,,2.0813,,4.2228,,,,,
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,,2.639,,4.0262,,3.278,,2.0813,,3.9727,,,,,
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,,2.6107,,4.0157,,3.2729,,2.0813,,3.9727,,,,,
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,,2.9357,,3.8546,,3.2022,,2.2653,,4.2956,,,,,
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,,2.7074,,4.1344,,3.0924,,2.2653,,4.0939,,,,,
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,,2.7795,,3.5356,,3.0832,,2.22,,3.7996,,,,,
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,,2.6777,,3.845,,2.9685,,2.22,,3.7265,,,,,
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,,2.7276,,4.2841,,3.3253,,2.0813,,4.2956,,,,,
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,,2.6875,,4.2369,,3.32,,2.0813,,4.2126,,,,,
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,,2.639,,4.0262,,3.278,,2.0813,,3.9636,,,,,
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,,2.6107,,4.0157,,3.2729,,2.0813,,3.9636,,,,,
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,,2.9715,,4.1013,,3.9299,,2.3451,,4.7912,,,,,
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,,2.7175,,4.1793,,4.0448,,2.3451,,4.6882,,,,,
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,,2.8115,,3.8259,,3.7054,,2.3125,,4.2641,,,,,
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,,2.6875,,3.8741,,3.7796,,2.3125,,4.2228,,,,,
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,,1.7873,,3.126,,1.932,,1.7713,,3.2537,,,,,
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767,,,,,
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,,1.7488,,2.3919,,1.7422,,1.5782,,2.5349,,,,,
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,,1.5961,,1.8073,,1.7321,,1.5782,,2.5239,,,,,
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,,2.1066,,1.1276,,1.244,,1.1327,,1.6284,,,,,
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,,2.0826,,1.3906,,1.1898,,1.1327,,1.6089,,,,,
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,,1.8413,,1.0427,,1.1566,,1.0882,,1.3488,,,,,
ForthRSegment,Forth,Segment,Z,Z,Z,R,,1.8367,,1.2669,,1.1174,,1.0882,,1.3488,,,,,
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,,1.7873,,3.126,,1.932,,1.7713,,3.2537,,,,,
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,,1.6281,,2.3882,,1.9195,,1.7713,,3.1767,,,,,
