Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,2.6107,4.0157,3.2729,2.0813,3.9636
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,2.6390,4.0262,3.2780,2.0813,3.9636
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,2.6107,4.0157,3.2729,2.0813,3.9636
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,2.6390,4.0262,3.2780,2.0813,3.9636
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,2.6107,4.0157,3.2729,2.0813,3.9636
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,2.6390,4.0262,3.2780,2.0813,3.9636
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,2.6107,4.0157,3.2729,2.0813,3.9727
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,2.6390,4.0262,3.2780,2.0813,3.9727
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,2.6107,4.0157,3.2729,2.0813,3.9727
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,2.6390,4.0262,3.2780,2.0813,3.9727
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,2.6107,4.0157,3.2729,2.0813,3.9727
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,2.6390,4.0262,3.2780,2.0813,3.9727
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,2.6777,3.8450,2.9685,2.2200,3.7265
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,2.7795,3.5356,3.0832,2.2200,3.7996
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,2.6777,3.8450,2.9685,2.2200,3.7265
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,2.7795,3.5356,3.0832,2.2200,3.7996
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,2.6777,3.8450,2.9685,2.2200,3.7265
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,2.7795,3.5356,3.0832,2.2200,3.7996
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,2.6875,3.8741,3.7796,2.3125,4.2228
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,2.8115,3.8259,3.7054,2.3125,4.2641
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,2.6875,3.8741,3.7796,2.3125,4.2228
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,2.8115,3.8259,3.7054,2.3125,4.2641
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,2.6875,3.8741,3.7796,2.3125,4.2228
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,2.8115,3.8259,3.7054,2.3125,4.2641
Forth,Forth,Z,Z,Z,Z,Z,1.2327,0.8040,1.0603,1.0954,1.3732
Forth-RRT,Forth,Z,Z,RRT,Z,Z,1.1585,0.9355,1.1186,1.0954,1.3457
ForthBB,Forth,BB,Z,Z,Z,Z,1.2327,0.8040,1.0603,1.0954,1.3732
ForthBB-RRT,Forth,BB,Z,RRT,Z,Z,1.1585,0.9355,1.1186,1.0954,1.3457
ForthCT,Forth,Z,Z,Z,CT,Z,1.5961,1.8073,1.7321,1.5782,2.5239
ForthCT-RRT,Forth,Z,Z,RRT,CT,Z,1.7488,2.3919,1.7422,1.5782,2.5349
ForthCTBB,Forth,BB,Z,Z,CT,Z,1.5961,1.8073,1.7321,1.5782,2.5239
ForthCTBB-RRT,Forth,BB,Z,RRT,CT,Z,1.7488,2.3919,1.7422,1.5782,2.5349
ForthCTSegment,Forth,Segment,Z,Z,CT,Z,1.5961,1.8073,1.7321,1.5782,2.5239
ForthCTSegment-RRT,Forth,Segment,Z,RRT,CT,Z,1.7488,2.3919,1.7422,1.5782,2.5349
ForthR,Forth,Z,Z,Z,Z,R,1.8367,1.2669,1.1174,1.0882,1.3488
ForthR-RRT,Forth,Z,Z,RRT,Z,R,1.8413,1.0427,1.1566,1.0882,1.3488
ForthRBB,Forth,BB,Z,Z,Z,R,1.8367,1.2669,1.1174,1.0882,1.3488
ForthRBB-RRT,Forth,BB,Z,RRT,Z,R,1.8413,1.0427,1.1566,1.0882,1.3488
ForthRCT,Forth,Z,Z,Z,CT,R,1.5961,1.8073,1.7321,1.5782,2.5239
ForthRCT-RRT,Forth,Z,Z,RRT,CT,R,1.7488,2.3919,1.7422,1.5782,2.5349
ForthRCTBB,Forth,BB,Z,Z,CT,R,1.5961,1.8073,1.7321,1.5782,2.5239
ForthRCTBB-RRT,Forth,BB,Z,RRT,CT,R,1.7488,2.3919,1.7422,1.5782,2.5349
ForthRCTSegment,Forth,Segment,Z,Z,CT,R,1.5961,1.8073,1.7321,1.5782,2.5239
ForthRCTSegment-RRT,Forth,Segment,Z,RRT,CT,R,1.7488,2.3919,1.7422,1.5782,2.5349
ForthRSegment,Forth,Segment,Z,Z,Z,R,1.8367,1.2669,1.1174,1.0882,1.3488
ForthRSegment-RRT,Forth,Segment,Z,RRT,Z,R,1.8413,1.0427,1.1566,1.0882,1.3488
ForthSegment,Forth,Segment,Z,Z,Z,Z,1.2327,0.8040,1.0603,1.0954,1.3732
ForthSegment-RRT,Forth,Segment,Z,RRT,Z,Z,1.1585,0.9355,1.1186,1.0954,1.3457
ReCOSIACTTEC,COSIATEC,Z,RecurSIA,Z,CT,Z,2.6875,4.2369,3.3200,2.0813,4.2126
ReCOSIACTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,Z,2.7276,4.2841,3.3253,2.0813,4.2956
ReCOSIACTTECBB,COSIATEC,BB,RecurSIA,Z,CT,Z,2.6875,4.2369,3.3200,2.0813,4.2126
ReCOSIACTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,Z,2.7276,4.2841,3.3253,2.0813,4.2956
ReCOSIACTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,Z,2.6875,4.2369,3.3200,2.0813,4.2126
ReCOSIACTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,Z,2.7276,4.2841,3.3253,2.0813,4.2956
ReCOSIARCTTEC,COSIATEC,Z,RecurSIA,Z,CT,R,2.6875,4.2369,3.3200,2.0813,4.2228
ReCOSIARCTTEC-RRT,COSIATEC,Z,RecurSIA,RRT,CT,R,2.7276,4.2841,3.3253,2.0813,4.3062
ReCOSIARCTTECBB,COSIATEC,BB,RecurSIA,Z,CT,R,2.6875,4.2369,3.3200,2.0813,4.2228
ReCOSIARCTTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,CT,R,2.7276,4.2841,3.3253,2.0813,4.3062
ReCOSIARCTTECSegment,COSIATEC,Segment,RecurSIA,Z,CT,R,2.6875,4.2369,3.3200,2.0813,4.2228
ReCOSIARCTTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,CT,R,2.7276,4.2841,3.3253,2.0813,4.3062
ReCOSIARTEC,COSIATEC,Z,RecurSIA,Z,Z,R,2.7074,4.1344,3.0924,2.2653,4.0939
ReCOSIARTEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,R,2.9357,3.8546,3.2022,2.2653,4.2956
ReCOSIARTECBB,COSIATEC,BB,RecurSIA,Z,Z,R,2.7074,4.1344,3.0924,2.2653,4.0939
ReCOSIARTECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,R,2.9357,3.8546,3.2022,2.2653,4.2956
ReCOSIARTECSegment,COSIATEC,Segment,RecurSIA,Z,Z,R,2.7074,4.1344,3.0924,2.2653,4.0939
ReCOSIARTECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,R,2.9357,3.8546,3.2022,2.2653,4.2956
ReCOSIATEC,COSIATEC,Z,RecurSIA,Z,Z,Z,2.7175,4.1793,4.0448,2.3451,4.6882
ReCOSIATEC-RRT,COSIATEC,Z,RecurSIA,RRT,Z,Z,2.9715,4.1013,3.9299,2.3451,4.7912
ReCOSIATECBB,COSIATEC,BB,RecurSIA,Z,Z,Z,2.7175,4.1793,4.0448,2.3451,4.6882
ReCOSIATECBB-RRT,COSIATEC,BB,RecurSIA,RRT,Z,Z,2.9715,4.1013,3.9299,2.3451,4.7912
ReCOSIATECSegment,COSIATEC,Segment,RecurSIA,Z,Z,Z,2.7175,4.1793,4.0448,2.3451,4.6882
ReCOSIATECSegment-RRT,COSIATEC,Segment,RecurSIA,RRT,Z,Z,2.9715,4.1013,3.9299,2.3451,4.7912
ReForth,Forth,Z,RecurSIA,Z,Z,Z,1.2327,0.8427,1.1382,1.1978,1.6376
ReForth-RRT,Forth,Z,RecurSIA,RRT,Z,Z,1.1585,0.9891,1.2271,1.1978,1.5475
ReForthBB,Forth,BB,RecurSIA,Z,Z,Z,1.2327,0.8427,1.1382,1.1978,1.6376
ReForthBB-RRT,Forth,BB,RecurSIA,RRT,Z,Z,1.1585,0.9891,1.2271,1.1978,1.5475
ReForthCT,Forth,Z,RecurSIA,Z,CT,Z,1.6281,2.3882,1.9195,1.7713,3.1767
ReForthCT-RRT,Forth,Z,RecurSIA,RRT,CT,Z,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthCTBB,Forth,BB,RecurSIA,Z,CT,Z,1.6281,2.3882,1.9195,1.7713,3.1767
ReForthCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,Z,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthCTSegment,Forth,Segment,RecurSIA,Z,CT,Z,1.6281,2.3882,1.9195,1.7713,3.1767
ReForthCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,Z,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthR,Forth,Z,RecurSIA,Z,Z,R,2.0826,1.3906,1.1898,1.1327,1.6089
ReForthR-RRT,Forth,Z,RecurSIA,RRT,Z,R,2.1066,1.1276,1.2440,1.1327,1.6284
ReForthRBB,Forth,BB,RecurSIA,Z,Z,R,2.0826,1.3906,1.1898,1.1327,1.6089
ReForthRBB-RRT,Forth,BB,RecurSIA,RRT,Z,R,2.1066,1.1276,1.2440,1.1327,1.6284
ReForthRCT,Forth,Z,RecurSIA,Z,CT,R,1.6281,2.3882,1.9195,1.7713,3.1767
ReForthRCT-RRT,Forth,Z,RecurSIA,RRT,CT,R,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthRCTBB,Forth,BB,RecurSIA,Z,CT,R,1.6281,2.3882,1.9195,1.7713,3.1767
ReForthRCTBB-RRT,Forth,BB,RecurSIA,RRT,CT,R,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthRCTSegment,Forth,Segment,RecurSIA,Z,CT,R,1.6281,2.3882,1.9195,1.7713,3.1767
ReForthRCTSegment-RRT,Forth,Segment,RecurSIA,RRT,CT,R,1.7873,3.1260,1.9320,1.7713,3.2537
ReForthRSegment,Forth,Segment,RecurSIA,Z,Z,R,2.0826,1.3906,1.1898,1.1327,1.6089
ReForthRSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,R,2.1066,1.1276,1.2440,1.1327,1.6284
ReForthSegment,Forth,Segment,RecurSIA,Z,Z,Z,1.2327,0.8427,1.1382,1.1978,1.6376
ReForthSegment-RRT,Forth,Segment,RecurSIA,RRT,Z,Z,1.1585,0.9891,1.2271,1.1978,1.5475
ReSIACTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,Z,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIACTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,Z,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIACTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,Z,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIACTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,Z,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIACTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,Z,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIACTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,Z,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIARCTTECCompress,SIATECCompress,Z,RecurSIA,Z,CT,R,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIARCTTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,CT,R,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIARCTTECCompressBB,SIATECCompress,BB,RecurSIA,Z,CT,R,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIARCTTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,CT,R,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIARCTTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,CT,R,1.7322,2.7125,1.9990,1.5275,2.8312
ReSIARCTTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,CT,R,1.8184,2.8748,2.0010,1.5346,2.8874
ReSIARTECCompress,SIATECCompress,Z,RecurSIA,Z,Z,R,1.8367,2.0317,1.7857,1.5136,1.7616
ReSIARTECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,R,1.9704,2.1421,1.8643,1.5136,1.8339
ReSIARTECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,R,1.8367,2.0317,1.7857,1.5136,1.7616
ReSIARTECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,R,1.9704,2.1421,1.8643,1.5136,1.8339
ReSIARTECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,R,1.8367,2.0317,1.7857,1.5136,1.7616
ReSIARTECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,R,1.9704,2.1421,1.8643,1.5136,1.8339
ReSIATECCompress,SIATECCompress,Z,RecurSIA,Z,Z,Z,1.9136,2.0290,1.8527,1.5417,2.6464
ReSIATECCompress-RRT,SIATECCompress,Z,RecurSIA,RRT,Z,Z,1.9864,2.2003,1.8012,1.5417,2.6505
ReSIATECCompressBB,SIATECCompress,BB,RecurSIA,Z,Z,Z,1.9136,2.0290,1.8527,1.5417,2.6464
ReSIATECCompressBB-RRT,SIATECCompress,BB,RecurSIA,RRT,Z,Z,1.9864,2.2003,1.8012,1.5417,2.6505
ReSIATECCompressSegment,SIATECCompress,Segment,RecurSIA,Z,Z,Z,1.9136,2.0290,1.8527,1.5417,2.6464
ReSIATECCompressSegment-RRT,SIATECCompress,Segment,RecurSIA,RRT,Z,Z,1.9864,2.2003,1.8012,1.5417,2.6505
SIACTTECCompress,SIATECCompress,Z,Z,Z,CT,Z,1.6208,2.3409,1.9002,1.4605,2.3793
SIACTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,Z,1.6766,2.4413,1.9019,1.4605,2.3793
SIACTTECCompressBB,SIATECCompress,BB,Z,Z,CT,Z,1.6208,2.3409,1.9002,1.4605,2.3793
SIACTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,Z,1.6766,2.4413,1.9019,1.4605,2.3793
SIACTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,Z,1.6208,2.3409,1.9002,1.4605,2.3793
SIACTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,Z,1.6766,2.4413,1.9019,1.4605,2.3793
SIARCTTECCompress,SIATECCompress,Z,Z,Z,CT,R,1.6208,2.3409,1.9002,1.4605,2.3793
SIARCTTECCompress-RRT,SIATECCompress,Z,Z,RRT,CT,R,1.6766,2.4413,1.9019,1.4605,2.3793
SIARCTTECCompressBB,SIATECCompress,BB,Z,Z,CT,R,1.6208,2.3409,1.9002,1.4605,2.3793
SIARCTTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,CT,R,1.6766,2.4413,1.9019,1.4605,2.3793
SIARCTTECCompressSegment,SIATECCompress,Segment,Z,Z,CT,R,1.6208,2.3409,1.9002,1.4605,2.3793
SIARCTTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,CT,R,1.6766,2.4413,1.9019,1.4605,2.3793
SIARTECCompress,SIATECCompress,Z,Z,Z,Z,R,1.7488,1.7597,1.6326,1.4416,1.5502
SIARTECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,R,1.8005,1.7946,1.6693,1.4416,1.5956
SIARTECCompressBB,SIATECCompress,BB,Z,Z,Z,R,1.7488,1.7597,1.6326,1.4416,1.5502
SIARTECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,R,1.8005,1.7946,1.6693,1.4416,1.5956
SIARTECCompressSegment,SIATECCompress,Segment,Z,Z,Z,R,1.7488,1.7597,1.6326,1.4416,1.5502
SIARTECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,R,1.8005,1.7946,1.6693,1.4416,1.5956
SIATECCompress,SIATECCompress,Z,Z,Z,Z,Z,1.8139,1.8009,1.6627,1.4735,2.2445
SIATECCompress-RRT,SIATECCompress,Z,Z,RRT,Z,Z,1.8601,1.9035,1.6123,1.4735,2.2359
SIATECCompressBB,SIATECCompress,BB,Z,Z,Z,Z,1.8139,1.8009,1.6627,1.4735,2.2445
SIATECCompressBB-RRT,SIATECCompress,BB,Z,RRT,Z,Z,1.8601,1.9035,1.6123,1.4735,2.2359
SIATECCompressSegment,SIATECCompress,Segment,Z,Z,Z,Z,1.8139,1.8009,1.6627,1.4735,2.2445
SIATECCompressSegment-RRT,SIATECCompress,Segment,Z,RRT,Z,Z,1.8601,1.9035,1.6123,1.4735,2.2359
