Algorithm, Basic algorithm, Mode, RecurSIA, RRT, CT, R,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,COSIATEC,Z,Z,Z,CT,Z,1505,8426,23024,219,12925
COSIACTTEC-RRT,COSIATEC,Z,Z,RRT,CT,Z,1367,8015,21223,224,12252
COSIACTTECBB,COSIATEC,BB,Z,Z,CT,Z,1614,8671,23423,265,13243
COSIACTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,Z,1379,7859,22589,212,12154
COSIACTTECSegment,COSIATEC,Segment,Z,Z,CT,Z,1581,8655,22916,232,13285
COSIACTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,Z,1332,7816,21686,225,12226
COSIARCTTEC,COSIATEC,Z,Z,Z,CT,R,5617,34060,74530,607,49902
COSIARCTTEC-RRT,COSIATEC,Z,Z,RRT,CT,R,4908,32376,70989,555,45544
COSIARCTTECBB,COSIATEC,BB,Z,Z,CT,R,5692,34013,77050,568,48750
COSIARCTTECBB-RRT,COSIATEC,BB,Z,RRT,CT,R,4893,32611,69527,604,45697
COSIARCTTECSegment,COSIATEC,Segment,Z,Z,CT,R,5562,34379,74402,663,48668
COSIARCTTECSegment-RRT,COSIATEC,Segment,Z,RRT,CT,R,4909,32789,68860,543,45573
COSIARTEC,COSIATEC,Z,Z,Z,Z,R,11618,70938,219045,816,174738
COSIARTEC-RRT,COSIATEC,Z,Z,RRT,Z,R,9397,85988,190225,834,114933
COSIARTECBB,COSIATEC,BB,Z,Z,Z,R,11614,70815,219296,798,174864
COSIARTECBB-RRT,COSIATEC,BB,Z,RRT,Z,R,9478,88301,198744,798,120816
COSIARTECSegment,COSIATEC,Segment,Z,Z,Z,R,11798,70886,220246,756,175450
COSIARTECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,R,9566,87624,194650,834,119189
COSIATEC,COSIATEC,Z,Z,Z,Z,Z,13699,81283,314403,772,201785
COSIATEC-RRT,COSIATEC,Z,Z,RRT,Z,Z,12821,81107,338376,787,214195
COSIATECBB,COSIATEC,BB,Z,Z,Z,Z,14868,80056,348422,770,224421
COSIATECBB-RRT,COSIATEC,BB,Z,RRT,Z,Z,12482,80785,352843,805,214061
COSIATECSegment,COSIATEC,Segment,Z,Z,Z,Z,13503,81761,300315,646,218068
COSIATECSegment-RRT,COSIATEC,Segment,Z,RRT,Z,Z,12524,81209,335052,782,205331
Forth,Forth,Z,Z,Z,Z,Z,6921,37643,167178,931,84014
