Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.25,0.15,0.07,0.16,0.27
COSIACTTECSegment,0.22,0.44,0.27,0.30,0.44
COSIARCTTEC,0.24,0.15,0.07,0.16,0.27
COSIARCTTECSegment,0.24,0.44,0.27,0.30,0.44
COSIARTECSegment,0.17,0.56,0.42,0.38,0.50
COSIATEC,0.19,0.13,0.06,0.14,0.21
COSIATEC-MIN-3,0.19,0.16,0.07,0.16,0.22
COSIATECSegment,0.18,0.66,0.31,0.38,0.55
Forth,0.16,0.32,0.12,0.31,0.24
ForthCT,0.39,0.55,0.23,0.33,0.55
ForthCTSegment,0.30,0.57,0.30,0.31,0.58
ForthRCT,0.39,0.55,0.23,0.33,0.55
ForthRCTSegment,0.30,0.57,0.30,0.31,0.58
SIARTECCompressSegment,0.24,0.61,0.60,0.39,0.56
SIATECCompress,0.21,0.18,0.11,0.18,0.24
SIATECCompressSegment,0.28,0.65,0.55,0.40,0.56
