Algorithm,Bach,Beethoven,Chopin,Gibbons,Mozart
COSIACTTEC,0.16,0.12,0.04,0.11,0.20
COSIACTTECSegment,0.15,0.34,0.17,0.23,0.36
COSIARCTTEC,0.15,0.12,0.04,0.11,0.20
COSIARCTTECSegment,0.17,0.34,0.17,0.23,0.36
COSIARTECSegment,0.11,0.48,0.28,0.47,0.42
COSIATEC,0.11,0.10,0.03,0.11,0.15
COSIATEC-MIN-3,0.11,0.12,0.04,0.12,0.15
COSIATECSegment,0.11,0.55,0.20,0.44,0.46
Forth,0.13,0.23,0.08,0.31,0.17
ForthCT,0.28,0.44,0.15,0.33,0.45
ForthCTSegment,0.23,0.48,0.20,0.31,0.51
ForthRCT,0.28,0.44,0.15,0.33,0.45
ForthRCTSegment,0.23,0.48,0.20,0.31,0.51
SIARTECCompressSegment,0.19,0.55,0.47,0.42,0.50
SIATECCompress,0.14,0.14,0.07,0.14,0.18
SIATECCompressSegment,0.21,0.57,0.42,0.47,0.53
